% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 46.52    0.002148           0      2691           write
 45.20    0.002087           0     21781           statx
  3.03    0.000140           0       264           pread64
  2.64    0.000122           5        23           openat
  2.08    0.000096           1        79           read
  0.39    0.000018           0        22           close
  0.13    0.000006           0         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.004617           0     24871           total
