kind=helper_guardrail version=1 samples=50
raw,order,length,pattern,variant,iterations,min_ns,p50_ns,p95_ns,max_ns,checksum
raw,reverse,49,all_cr,memchr_iter,4096,145,147,147,150,51
raw,reverse,49,all_cr,scalar,4096,25,25,26,26,51
raw,reverse,49,unicode,first_cr_then_scalar,4096,30,30,32,32,51
raw,reverse,49,unicode,memmem_iter,4096,37,37,39,39,51
raw,reverse,49,unicode,memchr_iter,4096,29,29,30,30,51
raw,reverse,49,unicode,scalar,4096,49,49,51,51,51
raw,reverse,1024,ascii_no_cr,first_cr_then_scalar,512,23,23,23,38,51
raw,reverse,1024,ascii_no_cr,memmem_iter,512,40,40,40,52,51
raw,reverse,1024,ascii_no_cr,memchr_iter,512,23,23,23,23,51
raw,reverse,1024,ascii_no_cr,scalar,512,490,491,503,509,51
raw,reverse,1024,sparse_crlf,first_cr_then_scalar,512,541,542,554,569,51
raw,reverse,1024,sparse_crlf,memmem_iter,512,84,84,85,99,51
raw,reverse,1024,sparse_crlf,memchr_iter,512,65,65,66,79,51
raw,reverse,1024,sparse_crlf,scalar,512,540,543,575,581,51
raw,reverse,1024,dense_crlf,first_cr_then_scalar,512,298,298,310,312,51
raw,reverse,1024,dense_crlf,memmem_iter,512,2315,2331,2343,2350,51
raw,reverse,1024,dense_crlf,memchr_iter,512,1780,1792,1798,1804,51
raw,reverse,1024,dense_crlf,scalar,512,289,289,311,321,51
raw,reverse,1024,all_cr,first_cr_then_scalar,512,504,505,515,520,51
raw,reverse,1024,all_cr,memmem_iter,512,40,40,40,53,51
raw,reverse,1024,all_cr,memchr_iter,512,3530,3543,3551,3660,51
raw,reverse,1024,all_cr,scalar,512,500,501,512,519,51
raw,reverse,1024,unicode,first_cr_then_scalar,512,588,589,601,605,51
raw,reverse,1024,unicode,memmem_iter,512,603,604,616,619,51
raw,reverse,1024,unicode,memchr_iter,512,583,583,594,595,51
raw,reverse,1024,unicode,scalar,512,1041,1051,1053,1057,51
raw,reverse,65536,ascii_no_cr,first_cr_then_scalar,16,1253,1261,1264,1647,51
raw,reverse,65536,ascii_no_cr,memmem_iter,16,1550,1553,1555,1912,51
raw,reverse,65536,ascii_no_cr,memchr_iter,16,1255,1257,1258,1593,51
raw,reverse,65536,ascii_no_cr,scalar,16,29824,30000,30226,30313,51
raw,reverse,65536,sparse_crlf,first_cr_then_scalar,16,37141,37475,37625,37680,51
raw,reverse,65536,sparse_crlf,memmem_iter,16,4582,4599,4955,5011,51
raw,reverse,65536,sparse_crlf,memchr_iter,16,4165,4220,4505,4598,51
raw,reverse,65536,sparse_crlf,scalar,16,34427,34766,34896,34971,51
raw,reverse,65536,dense_crlf,first_cr_then_scalar,16,17596,17623,17978,17994,51
raw,reverse,65536,dense_crlf,memmem_iter,16,149935,150504,150903,150938,51
raw,reverse,65536,dense_crlf,memchr_iter,16,116539,117165,117404,117547,51
raw,reverse,65536,dense_crlf,scalar,16,17584,17688,22625,22971,51
raw,reverse,65536,all_cr,first_cr_then_scalar,16,30006,30140,30410,30500,51
raw,reverse,65536,all_cr,memmem_iter,16,1547,1549,1555,1925,51
raw,reverse,65536,all_cr,memchr_iter,16,232257,232760,233135,233528,51
raw,reverse,65536,all_cr,scalar,16,29975,30148,30385,30645,51
raw,reverse,65536,unicode,first_cr_then_scalar,16,36420,36760,36898,37065,51
raw,reverse,65536,unicode,memmem_iter,16,36707,37038,37175,37293,51
raw,reverse,65536,unicode,memchr_iter,16,36431,36791,36970,36993,51
raw,reverse,65536,unicode,scalar,16,65338,65403,65619,65890,51
