fixture	members	structural	runs	run_members	retained_bytes	longest_run
test-data/odf/odp/tdf102223.odp	17	0	0	0	0	0
test-data/odf/odp/text-in-image.odp	17	0	0	0	0	0
test-data/odf/odp/tdf105502.odp	17	0	0	0	0	0
test-data/odf/odp/cellspan.odp	17	0	0	0	0	0
test-data/odf/odp/tdf169979.odp	8	0	0	0	0	0
test-data/odf/corpus/writer-header-footer.odt	15	0	0	0	0	0
test-data/odf/corpus/impress-embedded-spreadsheet.odp	27	0	0	0	0	0
test-data/odf/corpus/writer-paragraph-styles.odt	15	0	0	0	0	0
test-data/odf/corpus/writer-user-fields.odt	16	0	0	0	0	0
test-data/odf/corpus/impress-basic.odp	14	0	0	0	0	0
test-data/odf/corpus/calc-formulas.ods	15	0	0	0	0	0
test-data/odf/corpus/calc-two-sheets.ods	17	0	0	0	0	0
test-data/odf/corpus/writer-definition-lists.odt	15	0	0	0	0	0
test-data/odf/corpus/calc-cell-styles.ods	17	0	0	0	0	0
test-data/odf/corpus/calc-unicode-chinese.ods	17	0	0	0	0	0
test-data/odf/corpus/writer-table-of-contents.odt	17	0	0	0	0	0
test-data/odf/corpus/impress-master-layouts.odp	16	0	0	0	0	0
test-data/odf/corpus/writer-table.odt	15	0	0	0	0	0
test-data/odf/corpus/writer-images-frames.odt	20	0	0	0	0	0
test-data/odf/corpus/writer-minimal-nasty.odt	5	0	0	0	0	0
test-data/odf/odt/shape-text-in-paragraph.odt	17	0	0	0	0	0
test-data/odf/odt/table-cell-column-span.odt	17	0	0	0	0	0
test-data/odf/odc-producer-evidence/odfdom-created.odc	5	0	0	0	0	0
test-data/odf/odc-producer-evidence/odfdom-resaved.odc	5	0	0	0	0	0
test-data/odf/ods/grid-padding-package.ods	16	0	0	0	0	0
test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx	10	3	1	2	719	719
test-data/office-interop/litchi-changed/shapes-litchi.pptx	48	21	1	2	842	842
test-data/office-interop/litchi-changed/tdf132924-litchi.odb	5	0	0	0	0	0
test-data/office-interop/litchi-changed/document-properties-litchi.docx	12	3	1	2	753	753
test-data/iwork/pages/body-table-name-visible-native.pages	43	0	0	0	0	0
test-data/iwork/pages/body-table-hidden-axes-cleared-native.pages	43	0	0	0	0	0
test-data/iwork/pages/basic.pages	13	0	0	0	0	0
test-data/iwork/pages/body-table-visible.pages	43	0	0	0	0	0
test-data/iwork/pages/image-adjustments-native-resaved.pages	17	0	0	0	0	0
test-data/iwork/pages/chart-arrangement-native.pages	14	0	0	0	0	0
test-data/iwork/pages/body-table-cells-native.pages	73	0	0	0	0	0
test-data/iwork/pages/body-sections-unicode.pages	13	0	0	0	0	0
test-data/iwork/pages/body-table-catalog-native.pages	73	0	0	0	0	0
test-data/iwork/pages/chart-data-native.pages	14	0	0	0	0	0
test-data/iwork/pages/source-built-table-stylesheet-before.pages	8	0	0	0	0	0
test-data/iwork/pages/image-adjustments-retirement-resaved.pages	17	0	0	0	0	0
test-data/iwork/pages/body-table-hidden-axes-focused-native.pages	43	0	0	0	0	0
test-data/iwork/pages/body-table-merges-native.pages	73	0	0	0	0	0
test-data/iwork/pages/chart-grid-authored-native.pages	13	0	0	0	0	0
test-data/iwork/pages/image-adjustments-native.pages	17	0	0	0	0	0
test-data/iwork/pages/body-table-name-focused-native-saved.pages	43	0	0	0	0	0
test-data/iwork/pages/body-table-hidden-axes-native.pages	43	0	0	0	0	0
test-data/iwork/pages/source-built-hidden-axes-legacy.pages	8	0	0	0	0	0
test-data/iwork/pages/body-table-name-focused.pages	40	0	0	0	0	0
test-data/iwork/pages/body-table-comment-hidden-native-saved.pages	43	0	0	0	0	0
test-data/iwork/pages/audio-playback-native.pages	14	0	0	0	0	0
test-data/iwork/pages/audio-playback-native-resaved.pages	14	0	0	0	0	0
test-data/iwork/pages/chart-arrangement-retirement-resaved.pages	14	0	0	0	0	0
test-data/iwork/pages/image-adjustments-direct-resaved.pages	17	0	0	0	0	0
test-data/iwork/pages/body-table-cross-reference-native.pages	73	0	0	0	0	0
test-data/iwork/pages/chart-grid-replaced-native.pages	13	0	0	0	0	0
test-data/iwork/pages/source-built-hidden-axes-before.pages	8	0	0	0	0	0
test-data/iwork/pages/source-built-table-stylesheet-native-saved.pages	43	0	0	0	0	0
test-data/iwork/pages/chart-data-edited-native.pages	14	0	0	0	0	0
test-data/iwork/pages/body-table-read-native.pages	73	0	0	0	0	0
test-data/office-interop/libreoffice-resaved/shapes-litchi.pptx	46	21	2	17	4533	2897
test-data/office-interop/libreoffice-resaved/tdf132924-litchi.odb	8	0	0	0	0	0
test-data/office-interop/libreoffice-resaved/document-properties-litchi.docx	11	3	0	0	0	0
test-data/ooxml/pptx/activex/activex_checkbox.pptx	51	20	3	19	6854	3235
test-data/iwork/numbers/cell-value-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/custom-text-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/audio-playback-native.numbers	44	0	0	0	0	0
test-data/iwork/numbers/custom-text-native-unicode.numbers	43	0	0	0	0	0
test-data/iwork/numbers/custom-retirement-resaved.numbers	43	0	0	0	0	0
test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx	13	4	0	0	0	0
test-data/iwork/numbers/table-relocation-native-resaved.numbers	77	0	0	0	0	0
test-data/iwork/numbers/comment-reader-native-created.numbers	43	0	0	0	0	0
test-data/iwork/numbers/table-data-list-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/chart-grid-replaced-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/chart-grid-authored-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/image-adjustments-native-resaved.numbers	47	0	0	0	0	0
test-data/iwork/numbers/custom-retirement-cleared.numbers	43	0	0	0	0	0
test-data/iwork/numbers/shared-model-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/custom-number-native-resaved.numbers	43	0	0	0	0	0
test-data/iwork/numbers/table-merges-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/duration-native-resaved.numbers	43	0	0	0	0	0
test-data/iwork/numbers/chart-arrangement-retirement-resaved.numbers	44	0	0	0	0	0
test-data/iwork/numbers/basic.numbers	43	0	0	0	0	0
test-data/iwork/numbers/audio-playback-native-resaved.numbers	44	0	0	0	0	0
test-data/iwork/numbers/image-adjustments-native.numbers	47	0	0	0	0	0
test-data/iwork/numbers/chart-data-edited-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/chart-arrangement-native.numbers	44	0	0	0	0	0
test-data/iwork/numbers/custom-datetime-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/image-adjustments-retirement-resaved.numbers	47	0	0	0	0	0
test-data/iwork/numbers/formula-envelope-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/comment-metadata-native-resaved.numbers	43	0	0	0	0	0
test-data/iwork/numbers/custom-number-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/custom-text-native-resaved.numbers	43	0	0	0	0	0
test-data/iwork/numbers/table-relocation-native.numbers	77	0	0	0	0	0
test-data/iwork/numbers/custom-datetime-native-resaved.numbers	43	0	0	0	0	0
test-data/iwork/numbers/chart-data-native.numbers	44	0	0	0	0	0
test-data/iwork/numbers/formula-budget-native.numbers	43	0	0	0	0	0
test-data/iwork/keynote/media-replacement-retirement-resaved.key	59	0	0	0	0	0
test-data/iwork/keynote/media-lifecycle-audio-duplicate-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-data-edited-native.key	57	0	0	0	0	0
test-data/iwork/keynote/slide-table-read-native.key	86	0	0	0	0	0
test-data/iwork/keynote/slide-movie-creation-focused-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-arrangement-retirement-resaved.key	57	0	0	0	0	0
test-data/iwork/keynote/chart-caption-native-resaved.key	57	0	0	0	0	0
test-data/iwork/numbers/formula-arena-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/formula-events-native.numbers	43	0	0	0	0	0
test-data/iwork/numbers/comment-compat-native-multiroot.numbers	43	0	0	0	0	0
test-data/iwork/numbers/image-adjustments-direct-resaved.numbers	47	0	0	0	0	0
test-data/iwork/numbers/duration-native.numbers	43	0	0	0	0	0
test-data/iwork/keynote/chart-data-native.key	57	0	0	0	0	0
test-data/iwork/keynote/slide-layout-native-resaved.key	60	0	0	0	0	0
test-data/iwork/keynote/chart-titles-native-resaved.key	57	0	0	0	0	0
test-data/iwork/keynote/table-discovery.key	86	0	0	0	0	0
test-data/iwork/keynote/media-audio-position-focused-native.key	59	0	0	0	0	0
test-data/iwork/keynote/media-properties-placeholder-native.key	61	0	0	0	0	0
test-data/iwork/keynote/slide-movie-geometry-source-native.key	61	0	0	0	0	0
test-data/iwork/keynote/media-watermark-reduplicate-native.key	59	0	0	0	0	0
test-data/iwork/keynote/media-properties-audio-focused-native.key	59	0	0	0	0	0
test-data/iwork/keynote/image-adjustments-retirement-resaved.key	60	0	0	0	0	0
test-data/iwork/keynote/media-audio-comment-removal-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-grid-authored-native.key	18	0	0	0	0	0
test-data/iwork/keynote/slide-table-merges-native.key	86	0	0	0	0	0
test-data/iwork/keynote/media-lifecycle-remove-native.key	57	0	0	0	0	0
test-data/iwork/keynote/media-comments-baseline-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-caption-native.key	57	0	0	0	0	0
test-data/iwork/keynote/media-comments-duplicate-native.key	59	0	0	0	0	0
test-data/iwork/keynote/media-properties-file-focused-native.key	59	0	0	0	0	0
test-data/iwork/keynote/media-audio-position-ui-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-titles-native.key	57	0	0	0	0	0
test-data/iwork/keynote/drawable-comments-source-native.key	59	0	0	0	0	0
test-data/iwork/keynote/image-adjustments-native-resaved.key	60	0	0	0	0	0
test-data/iwork/keynote/media-lifecycle-audio-remove-native.key	58	0	0	0	0	0
test-data/iwork/keynote/image-adjustments-native.key	60	0	0	0	0	0
test-data/iwork/keynote/slide-movie-geometry-vertical-focused-native.key	61	0	0	0	0	0
test-data/iwork/keynote/media-replacement-native.key	59	0	0	0	0	0
test-data/iwork/keynote/slide-movie-creation-fresh-focused-native.key	61	0	0	0	0	0
test-data/iwork/keynote/media-audio-comment-duplicate-native.key	59	0	0	0	0	0
test-data/iwork/keynote/slide-audio-creation-focused-native.key	60	0	0	0	0	0
test-data/iwork/keynote/media-watermark-removal-native.key	59	0	0	0	0	0
test-data/iwork/keynote/slide-movie-geometry-focused-native.key	61	0	0	0	0	0
test-data/iwork/keynote/slide-movie-creation-source-native.key	59	0	0	0	0	0
test-data/iwork/keynote/chart-grid-replaced-native.key	18	0	0	0	0	0
test-data/iwork/keynote/media-comments-shared-removal-native.key	59	0	0	0	0	0
test-data/iwork/keynote/basic.key	56	0	0	0	0	0
test-data/iwork/keynote/media-comments-final-removal-native.key	59	0	0	0	0	0
test-data/iwork/keynote/media-lifecycle-duplicate-native.key	59	0	0	0	0	0
test-data/odf/native-resave/libreoffice-resaved/rhbz1870501-litchi.odg	15	0	0	0	0	0
