% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.24    0.000748           0      2691           write
 11.82    0.000113           1        79           read
  5.75    0.000055           2        22           openat
  1.88    0.000018           0        21           close
  1.26    0.000012           1        12           statx
  0.84    0.000008           4         2           lseek
  0.21    0.000002           0         9           fstat
  0.00    0.000000           0         6           pread64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000956           0      2842           total
