package	run1_sha256	run2_sha256	identical
SimpleMultiCell.xlsx	c0fe2e734a98a5eb78bd25a44cacd5f0b25b2e10d66370573471b91776ba5b32	c0fe2e734a98a5eb78bd25a44cacd5f0b25b2e10d66370573471b91776ba5b32	yes
Sparklines.xlsx	6599dab3703fc041b44058f49e38e6576fc07e7d3620135d8a8f75fc527d38ed	6599dab3703fc041b44058f49e38e6576fc07e7d3620135d8a8f75fc527d38ed	yes
chart_hyperlink.xlsx	49f3bf4f3f37189031d0eb87534b8a59e0e2ba037a6eab2797f48de6db6ca9d1	49f3bf4f3f37189031d0eb87534b8a59e0e2ba037a6eab2797f48de6db6ca9d1	yes
condFormat_cellis.xlsx	20d37449f72aacc0d3cc59a1f1f7dcbc6bf82b89ba6d96d19e96a8ecd392fd8d	20d37449f72aacc0d3cc59a1f1f7dcbc6bf82b89ba6d96d19e96a8ecd392fd8d	yes
condformat_theme_color.xlsx	ee7c52f1f2e94fa1a71486d81ecc2fffc0cfa9ea6d875d94db74833d927b1147	ee7c52f1f2e94fa1a71486d81ecc2fffc0cfa9ea6d875d94db74833d927b1147	yes
