path	verdict	src_members	out_members	identical	differs	added	removed	diff	expected_only
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleMultiCell.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleNormal.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleScatterChart.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleStrict.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/extendedProperties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleWithComments.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SingleCellTable.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Sparklines.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredReferences.xlsx	error:no stored value cell	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TextColor.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TwoSheetsOneHidden.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/autofilter-colors-fg.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/autofilter-colors.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/autofilter.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/autofilternamedrange.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/cell-borders.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/cell-multi-line.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/chart_hyperlink.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/column_style.xlsx	error:no stored value cell	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/condFormat_cellis.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/condformat_databar.xlsx	error:no stored value cell	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/condformat_theme_color.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/conditional_fmt_origin.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/customxml.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.dell.com/ddp/2016/relationships/xenFile'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/decimal-format.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/duplicate-defined-names.xlsx	error:invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/empty.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/enhanced-protection.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/external-link-path-missing.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/external-link-path-startup.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/extendedProperties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/fontSize.xlsx	error:no stored value cell	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/formats.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/headerFooterTest.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/hyperlink.xlsx	error:no stored value cell	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/hyperlink_export.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/hyperlink_formula.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	-	-	-	-	-	-	-	-
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/hyperlinks.xlsx	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	-	-	-	-	-	-	-	-
