package	reopened	edited_cell	value	cells_src	cells_out	neighbours_ok	error
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleMultiCell.xlsx	yes	A1	424242	15	15	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Sparklines.xlsx	yes	B1	424242	12	12	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/chart_hyperlink.xlsx	yes	A1	424242	12	12	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/condFormat_cellis.xlsx	yes	A1	424242	1	1	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/condformat_theme_color.xlsx	yes	A1	424242	5	5	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/decimal-format.xlsx	yes	A1	424242	2	2	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/empty.xlsx	yes	A1	424242	1	1	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/named-ranges-global.xlsx	yes	A1	424242	10	10	yes	-
/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/noSharedStringTable.xlsx	yes	A1	424242	2	2	yes	-
