single	multi	sheets	sheet	target	cycle	detail	path
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	Munka1	B4	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	Munka1	B4	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	18	Home	D23	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	3	Foglio1	R9	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	3	Foglio1	H2	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	3	Foglio1	H2	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	1	Sheet1	A12	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DataValidationEvaluations.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	1	Sheet0	A1	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DataValidationListTooLong.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	2	Flags	C4	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatNumberTests.xlsx
no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	no:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	2	Flags	C4	cycle-err	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatTests.xlsx
