package	index	sheet	verdict
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	17	Customers2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	0	Foglio1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	1	Foglio2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	2	Foglio3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	0	Foglio1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	1	Foglio2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	2	Foglio3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx	0	Foglio1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx	1	Foglio2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx	2	Foglio3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DataValidationEvaluations.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DataValidationListTooLong.xlsx	0	Sheet0	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatNumberTests.xlsx	0	Flags	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatNumberTests.xlsx	1	Tests	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatTests.xlsx	0	Flags	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/DateFormatTests.xlsx	1	Tests	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx	0	Tabelle1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx	1	Tabelle2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx	2	Tabelle3	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/ExcelTables.xlsx	0	ExcelTable	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/FormatChoiceTests.xlsx	0	Flags	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/FormatChoiceTests.xlsx	1	Tests	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/FormatConditionTests.xlsx	0	Flags	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/FormatConditionTests.xlsx	1	Tests	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Formatting.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Formatting.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Formatting.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx	0	Sheet1	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/InlineString.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/InlineStrings.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/InlineStrings.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/InlineStrings.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx	0	CF	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/NewlineInFormulas.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
