% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.70    0.002235           0      2691           write
  2.97    0.000070           3        22           openat
  0.76    0.000018           0        79           read
  0.55    0.000013           0        21           close
  0.47    0.000011           1         9           fstat
  0.30    0.000007           3         2           lseek
  0.25    0.000006           1         6           pread64
  0.00    0.000000           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.002360           0      2842           total
