1	6836
2	2123
3	4312
4	24031
5	6972
6	6053
7	4423
8	12088
9	3495
10	1993
11	3235
12	595
13	2431
14	2073
15	647
16	4248
17	16251
18	4260
19	1810
20	4265
21	7487
22	6806
23	904
24	691
25	33
26	341
27	259
28	861
29	1504
30	586
31	911
32	10714
33	7852
34	26242
35	3034
36	1293
37	69
38	308
39	3519
40	2246
41	967
42	963
43	24
44	8559
45	5228
46	2396
47	7
48	2081
49	11
50	33
51	45
52	37
53	16037
54	944
55	1769
56	1670
57	959
58	7006
60	1328
62	69
63	75
64	66778
65	50
66	121
67	1313
68	4548
69	275
70	767
72	908
73	1070
74	554
76	3959
77	555
78	2603
79	4329
80	412
82	554
84	113
85	147
86	4
87	147
88	520
90	275
91	50
96	536
98	4
101	2
102	2
104	39
108	1
110	33
112	242
116	2388
120	2
123	1
128	5290
131	1
132	2
139	997
144	31
148	92
152	231
156	2548
157	997
160	595
161	997
169	997
172	4
175	15
176	91
180	60
181	45
184	75
192	611
200	2051
212	174
216	1064
218	87
224	9
225	33
226	33
227	66
231	2
232	48
240	57
242	56
248	885
251	56
252	56
254	568
256	1523
258	885
261	56
262	1
264	30
266	5
271	56
272	7
274	56
275	2
277	18
278	4
280	82
281	56
284	56
287	64
288	27
290	941
291	66
293	821
302	56
304	8
306	56
308	128
309	771
310	866
311	56
312	1415
314	56
316	56
320	195
324	56
328	26
336	15
344	55
345	45
353	1
359	3
368	33
372	1
376	10
384	179
388	1
389	6
397	64
399	56
403	56
407	64
408	87
409	56
413	56
416	1030
420	64
423	64
426	56
429	56
441	64
445	64
446	56
447	56
448	4
449	56
451	56
453	64
456	4
459	56
464	20
467	56
472	57
476	4
478	1
480	138
482	2
484	4
487	3
490	6
494	3
502	2
503	1
506	1
512	29
524	1
528	2
530	64
533	1
535	4
540	64
544	76
546	56
552	14
553	64
554	2
556	120
559	56
560	65
569	56
572	56
574	64
575	56
576	44
578	64
586	64
590	4
591	56
592	64
600	64
602	56
605	56
608	8
623	56
624	400
628	1845
632	68
636	56
640	72
647	4
648	45
656	8
659	64
660	1
661	26
669	64
672	4
686	64
688	9
689	64
692	21
696	2
707	64
709	56
711	64
719	120
728	6
736	16
738	56
741	56
759	56
763	56
768	29
771	56
778	4
786	10
792	64
800	87
802	64
808	12
816	977
819	64
822	64
826	2
838	19
839	13
840	66
844	37
850	56
852	37
854	27
860	56
862	27
869	2
892	56
895	56
896	4
897	45
904	2
912	4
913	56
917	56
925	93
928	10
935	37
941	27
951	27
952	25
955	21
956	1
957	2
958	16
960	28
961	16
968	4
973	21
974	3
979	16
980	33
983	27
984	46
986	2
987	21
988	2
993	16
995	21
1001	43
1004	58
1012	1
1014	56
1015	27
1023	27
1024	7
1032	62
1037	2
1046	56
1048	1
1049	56
1056	2
1067	56
1071	56
1072	120
1074	21
1079	56
1080	16
1084	21
1090	16
1091	4
1092	45
1102	27
1104	3
1112	27
1113	21
1116	21
1119	18
1120	4
1122	16
1127	27
1128	7
1130	27
1134	21
1140	18
1146	31
1147	34
1148	21
1152	2
1154	16
1156	21
1158	56
1162	16
1168	56
1184	64
1194	2
1197	2
1200	56
1203	56
1204	2
1211	13
1212	62
1216	8
1218	2
1221	56
1222	76
1225	56
1233	56
1235	21
1240	116
1241	16
1245	21
1251	16
1260	21
1263	21
1266	16
1269	16
1279	25
1280	24
1284	2
1285	22
1286	10
1296	1
1312	115
1322	56
1326	2
1328	95
1354	56
1357	56
1368	1
1375	56
1376	97
1379	56
1387	56
1466	56
1476	56
1508	56
1511	56
1514	2
1529	56
1533	56
1536	4
1541	56
1572	10
1584	153
1616	64
1620	56
1630	56
1635	4
1640	7
1662	56
1665	56
1683	56
1687	56
1695	56
1728	1
1774	56
1784	56
1792	1
1816	56
1819	56
1837	56
1841	56
1847	2
1849	56
1894	4
1895	45
1904	4
1912	1
1920	8
1928	56
1936	4
1938	56
1948	3
1960	6
1968	24
1970	56
1973	56
1976	2
1989	56
1990	64
2008	2
2024	1
2048	61
2064	32
2096	1
2112	2
2128	127
2231	4
2232	45
2352	64
2392	10
2432	8
2464	201
2496	13
2624	12
2640	4
2752	7
2792	1
2864	33
2952	27
2965	4
2966	45
3020	4
3021	45
3096	34
3128	1
3152	110
3244	4
3245	45
3264	8
3276	4
3480	4
3481	30
3496	8
3610	4
3611	24
3616	6
3617	10
3648	7
3808	4
3824	1
3840	8
3872	4
3896	3
3920	6
3936	14
3952	2
4016	2
4048	1
4096	24
4128	24
4192	1
4224	2
4276	56
4356	4
4357	59
4439	4
4440	45
4507	4
4519	6
4576	1
4592	8
4656	4
4657	45
4711	4
4712	45
4801	4
4802	45
4816	7
4878	4
4949	1
5078	10
5267	1
5447	4
5481	2
5492	2
5500	4
5512	6
5596	4
5603	6
5904	14
6192	9
7221	4
7222	45
7248	46
7616	4
7626	37
7627	45
7648	1
7653	41
7654	104
7680	8
7744	4
7792	3
7840	6
7904	2
8032	2
8049	4
8096	1
8192	1
8195	4
8202	6
8536	56
11985	4
11986	59
15232	4
15296	1
15488	4
15584	3
15680	6
15808	2
16064	2
16192	1
16384	1
17056	56
19992	1
24688	1
25024	8
25208	16
26112	7
26304	25
30464	4
30539	27
30592	1
30976	4
31168	3
31360	6
31498	22
31514	1
31545	10
31616	2
32128	2
32384	1
32768	1806
34096	56
47552	1403
60928	4
61952	4
62336	3
62720	6
65536	54
73728	1
128626	1
380032	402
