run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	A1	allocator	opc_casefold_source_lookup	2048	154606	161331	161391	155589.966667	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	c70ccbc7585e9a2f4d6e016ba570e4181330f2187809c5f56df7cafdb5a5fc1b
probe	A1	allocator	opc_casefold_eager_open	16384	41757491	42507474	43147477	41900331.0	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	c70ccbc7585e9a2f4d6e016ba570e4181330f2187809c5f56df7cafdb5a5fc1b
probe	A1	allocator	opc_casefold_source_open	16384	30514772	31263925	31408606	30583027.6	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	c70ccbc7585e9a2f4d6e016ba570e4181330f2187809c5f56df7cafdb5a5fc1b
probe	A1	allocator	opc_casefold_eager_lookup	16384	1483642	1517166	1518997	1485890.433333	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	c70ccbc7585e9a2f4d6e016ba570e4181330f2187809c5f56df7cafdb5a5fc1b
probe	A1	allocator	opc_casefold_source_lookup	16384	1402716	1414586	1414646	1402910.766667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	c70ccbc7585e9a2f4d6e016ba570e4181330f2187809c5f56df7cafdb5a5fc1b
probe	B1	normal	opc_casefold_eager_open	256	427612	436972	437962	428746.9	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_source_open	256	306316	314441	315031	307662.066667	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_eager_lookup	256	15950	16150	16370	15966.066667	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_source_lookup	256	28270	28420	28430	28255.766667	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_eager_open	2048	3431000	3482946	3503645	3433225.766667	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
