# started on Wed Aug 12 06:35:35 2026

3360.77,msec,task-clock,1.41%,3277945191,100.00,0.998,CPUs utilized
40,,context-switches,4.64%,3277945191,100.00,11.902,/sec
1,,cpu-migrations,0.00%,3277945191,100.00,0.298,/sec
14966,,page-faults,0.02%,3277945191,100.00,4.453,K/sec
16399305171,,cycles,1.19%,3277945191,100.00,4.880,GHz
74303738180,,instructions,0.01%,3277945191,100.00,4.53,insn per cycle
16275487448,,branches,0.00%,3277945191,100.00,4.843,G/sec
7692925,,branch-misses,1.94%,3277945191,100.00,0.05,of all branches
1675264134,,cache-references,0.37%,3277945191,100.00,498.476,M/sec
61379026,,cache-misses,4.90%,3277945191,100.00,3.66,of all cache refs
