1	101519
2	65540
3	166560
4	85
5	33
6	18
7	2
8	66691
9	2
10	39
11	196
12	78
13	16
14	213
15	932
16	33308
17	207
18	65804
19	186
20	225
21	32908
24	32908
28	212
30	21
31	20
32	33363
34	7
36	32768
38	1
39	33257
40	79
47	4
48	7
56	72
57	12
60	1
63	12
64	524626
65	12
66	12
73	14
74	32768
76	1
78	33257
80	36
81	7
82	14
90	1
96	3208
112	7
116	14
120	1
128	360998
134	3164
136	6
139	8
141	1
144	4
148	20
152	17
156	114729
157	8
161	8
169	8
180	8
192	16
195	327680
200	7
208	21
212	38
216	8
224	7
240	5
251	8
256	18
261	8
264	12
278	8
280	32
281	8
288	31
297	8
298	18
304	6
308	13
312	6
314	1
328	12
332	6
368	1
372	7
384	2
408	32
448	6
472	1
480	6
512	15
513	18
528	5
544	9
576	4
628	15
648	1
664	2
808	4
856	1
877	4
920	18
1024	7
1096	1
1256	1
1536	10
2048	6
2106	9
2128	1
2176	6
2192	7
2512	1
3072	2
3223	6
3224	11
3904	4
4096	3
4276	13
6144	2
8192	9
12288	2
16384	4
24026	2
24576	4
32768	98
32769	17
40960	2
47552	88
48052	2
49152	4
49464	2
51186	6
51208	2
62912	4
65536	56
65537	72
73728	1
96104	2
98304	2
131072	2
131600	2
196608	2
262144	2
380032	12
393216	2
394752	4
786432	2
2559127	4
2559128	7
8388608	3
