base	full-text	test-data/ole/xls/ConditionalFormattingSamples.xls	0	open=2099	total=77362	scenario=75263	refused:source XLS parse error: Invalid record 0x0006: shared Formula metadata requires a leading PtgExp token
hint	full-text	test-data/ole/xls/ConditionalFormattingSamples.xls	0	open=2099	total=69557	scenario=67458	refused:source XLS parse error: Invalid record 0x0006: shared Formula metadata requires a leading PtgExp token
shared	full-text	test-data/ole/xls/ConditionalFormattingSamples.xls	0	open=2099	total=72763	scenario=70664	refused:source XLS parse error: Invalid record 0x0006: shared Formula metadata requires a leading PtgExp token
base	full-text	test-data/poi/test-data/spreadsheet/15228.xls	0	open=86	total=15729	scenario=15643	text:81306:cb6fa85086ddb4ff
hint	full-text	test-data/poi/test-data/spreadsheet/15228.xls	0	open=86	total=5477	scenario=5391	text:81306:cb6fa85086ddb4ff
shared	full-text	test-data/poi/test-data/spreadsheet/15228.xls	0	open=86	total=5892	scenario=5806	text:81306:cb6fa85086ddb4ff
base	full-text	test-data/ole/xls/WithCustomViews.xls	0	open=336	total=55551	scenario=55215	text:107420:c8788833151c9612
hint	full-text	test-data/ole/xls/WithCustomViews.xls	0	open=336	total=55050	scenario=54714	text:107420:c8788833151c9612
shared	full-text	test-data/ole/xls/WithCustomViews.xls	0	open=336	total=55050	scenario=54714	text:107420:c8788833151c9612
base	full-text	test-data/ole/xls/HyperlinksOnManySheets.xls	0	open=6	total=28	scenario=22	text:300:862a1947645ea398
hint	full-text	test-data/ole/xls/HyperlinksOnManySheets.xls	0	open=6	total=20	scenario=14	text:300:862a1947645ea398
shared	full-text	test-data/ole/xls/HyperlinksOnManySheets.xls	0	open=6	total=23	scenario=17	text:300:862a1947645ea398
base	full-text	test-data/poi/test-data/spreadsheet/59858.xls	0	open=2916	total=432546	scenario=429630	text:40551:484b1952430d1e31
hint	full-text	test-data/poi/test-data/spreadsheet/59858.xls	0	open=2916	total=423074	scenario=420158	text:40551:484b1952430d1e31
shared	full-text	test-data/poi/test-data/spreadsheet/59858.xls	0	open=2916	total=424560	scenario=421644	text:40551:484b1952430d1e31
base	full-text	test-data/poi/test-data/spreadsheet/54016.xls	0	open=1110	total=1671048	scenario=1669938	text:840804:c7338cf3e8fb0004
hint	full-text	test-data/poi/test-data/spreadsheet/54016.xls	0	open=1110	total=1671048	scenario=1669938	text:840804:c7338cf3e8fb0004
shared	full-text	test-data/poi/test-data/spreadsheet/54016.xls	0	open=1110	total=1671048	scenario=1669938	text:840804:c7338cf3e8fb0004
