base	full-text	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	0	open=32	total=108	scenario=76	text:45:ca830f794f81b6b3
hint	full-text	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	0	open=32	total=108	scenario=76	text:45:ca830f794f81b6b3
shared	full-text	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	0	open=32	total=108	scenario=76	text:45:ca830f794f81b6b3
base	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	0	open=46	total=115	scenario=69	text:2:08547e07b5084555
hint	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	0	open=46	total=85	scenario=39	text:2:08547e07b5084555
shared	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	0	open=46	total=85	scenario=39	text:2:08547e07b5084555
base	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	0	open=10	total=51	scenario=41	text:705:76785a09589b287d
hint	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	0	open=10	total=35	scenario=25	text:705:76785a09589b287d
shared	full-text	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	0	open=10	total=35	scenario=25	text:705:76785a09589b287d
base	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	0	open=42	total=194	scenario=152	text:732:83f1bbf60298054d
hint	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	0	open=42	total=121	scenario=79	text:732:83f1bbf60298054d
shared	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	0	open=42	total=163	scenario=121	text:732:83f1bbf60298054d
base	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	0	open=36	total=57	scenario=21	text:56:6e4618d2b94d8db8
hint	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	0	open=36	total=57	scenario=21	text:56:6e4618d2b94d8db8
shared	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	0	open=36	total=57	scenario=21	text:56:6e4618d2b94d8db8
base	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	0	open=6	total=19	scenario=13	text:85:4d70a55e9b62e775
hint	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	0	open=6	total=16	scenario=10	text:85:4d70a55e9b62e775
shared	full-text	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	0	open=6	total=16	scenario=10	text:85:4d70a55e9b62e775
