# started on Mon Sep 14 12:20:06 2026

235283007,,instructions,22117232,100.00,,
40263978,,branches,22117232,100.00,,
184147,,branch-misses,22117232,100.00,,
22.12,msec,task-clock,22117232,100.00,,
