% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.25    0.004893           0     21781           statx
 33.66    0.002689           0      2691           write
  2.44    0.000195           0       264           pread64
  1.24    0.000099           1        79           read
  0.94    0.000075           3        23           openat
  0.39    0.000031           1        22           close
  0.08    0.000006           0         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.007988           0     24871           total
