kind,case,index,elapsed_ns,bytes,objects,archive_sha256,output_sha256
sample,dense_crlf-49,0,2622710,259999,10000,4376ae7067b0aa03f34a7d4cf24796c22806cbf528696068d0dbc06d377cbdec,829a2122fab3ae843a3ab07164c05ec3d8116a91399885502b3317d145e7c708
sample,all_cr-49,0,4182676,499999,10000,ea7a9190fa54ae2fe2083736a3ac40737f9a749d3c6ddbd813ece3a17b0f8024,4e7c6f011d6b8b058eca5405170a297fedec9dffae013fb31064ef78e8959eba
sample,sparse_crlf-49,0,1384975,499999,10000,8ea695502d78abe56fd3f2734fca8380811350bcfd8e44875c9bd478dc20a61f,0138bd34625cad5bb8aabb91b175ca0f443343bf508fc1ca68d3004f952855bf
sample,dense_crlf-1024,0,1683096,256499,500,3ad915702f8927321f50e4db42a4d0b3acc0b7d7299945a087ea3b68db3db73e,887ca114a3e64d1f43d437b0cb11becab0d597f02a01acc91bea07a62bf786b9
sample,all_cr-1024,0,3224752,512499,500,8daa7311fa122f481e84b77d4b9415697087da2a1308fe3345308bbb8764f55c,fad1998d4f23c96219b7cb5c251ce4d8bb9de2fa697aec86f84a98607574224c
sample,sparse_crlf-1024,0,341081,510499,500,4ee24f48785c7e5eba38d181d0b761ae8d902597e7fd6bb208ce9e4443a89986,8a0ced39c90c134ea8461256fa65791c56c8fe8780af1cfeee18e9816f2749b1
sample,dense_crlf-65536,0,1656887,262151,8,dc2d5f78bd77dcc14e006280e3c6fc78716aa1906045a9fbab3669baba4e1d85,24290201937affbe43876f1d564dfe61d03a696020830ae6162283c7e05e96db
sample,all_cr-65536,0,3232643,524295,8,435ec912e125c9f8ec95aa13ae97a7e5c07ec4f556588e54fb62969a2748fbef,119523d5019ffc56a1f411e3ea7c9b170aeeafbb9216c2b04156c486a419c04a
sample,sparse_crlf-65536,0,385812,522255,8,f67592d139d1579c57a12cd6cdf440775d2f7cc4030402056c8f5b390ed9a4e0,65409ee81a35a35731ca6d627e0e7b428a369169cac3bed2c837d766230fb347
