499,788,545 (100.0%)  PROGRAM TOTALS
493,918,924 (98.83%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/workbook/source.rs:<litchi_xlsx::workbook::source::SourceWorksheet>::store [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
486,739,619 (97.39%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}> [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
309,113,128 (61.85%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
 94,306,502 (18.87%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}>
 56,504,301 (11.31%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}>
 29,498,329 ( 5.90%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/mod.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()> [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
 26,472,553 ( 5.30%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/x14ac.rs:litchi_xlsx::raw::worksheet::x14ac::capture [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
 24,367,075 ( 4.88%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/x14ac.rs:litchi_xlsx::raw::worksheet::x14ac::capture_inner [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
 17,185,759 ( 3.44%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3/src/arch/x86_64/memchr.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
 14,605,575 ( 2.92%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:litchi_xlsx::raw::worksheet::x14ac::capture_inner
 12,669,811 ( 2.54%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/buffered_reader.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility
 12,554,675 ( 2.51%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/mod.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<&mut alloc::vec::Vec<u8>> [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
  5,916,870 ( 1.18%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/name.rs:<quick_xml::name::QName>::prefix [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
  4,909,158 ( 0.98%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3/src/arch/x86_64/memchr.rs:<quick_xml::name::QName>::prefix
  4,481,550 ( 0.90%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/styles.rs:litchi_xlsx::raw::styles::parse [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
  3,206,769 ( 0.64%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/name.rs:<quick_xml::name::NamespaceResolver>::resolve_prefix [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
  2,095,728 ( 0.42%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/parser/element.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
  1,307,083 ( 0.26%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3/src/arch/x86_64/memchr.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<&mut alloc::vec::Vec<u8>>
  1,183,494 ( 0.24%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/workbook/source.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}>
  1,127,328 ( 0.23%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
    839,664 ( 0.17%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/array/equality.rs:litchi_xlsx::raw::worksheet::x14ac::capture
    726,801 ( 0.15%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/slice_reader.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
    683,102 ( 0.14%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/name.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}>
    666,344 ( 0.13%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:litchi_xlsx::raw::styles::parse
    661,683 ( 0.13%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:litchi_xlsx::raw::worksheet::parse::<<litchi_xlsx::workbook::source::SourceWorksheet>::store::{closure#0}>
    574,400 ( 0.11%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/const_ptr.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
    480,104 ( 0.10%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/sync/atomic.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
    465,188 ( 0.09%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/alloc.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility
    446,503 ( 0.09%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:litchi_xlsx::raw::worksheet::x14ac::capture_inner
    420,503 ( 0.08%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter.rs:litchi_xlsx::raw::worksheet::x14ac::capture
    420,061 ( 0.08%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/iterator.rs:litchi_xlsx::raw::worksheet::x14ac::capture
    420,052 ( 0.08%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/index.rs:litchi_xlsx::raw::worksheet::x14ac::capture
    374,418 ( 0.07%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/non_null.rs:<quick_xml::name::NamespaceResolver>::resolve_prefix
    374,400 ( 0.07%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/double_ended.rs:<quick_xml::name::NamespaceResolver>::resolve_prefix
    352,565 ( 0.07%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/selected.rs:litchi_xlsx::raw::worksheet::selected::scan [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
    352,514 ( 0.07%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/selected.rs:litchi_xlsx::raw::worksheet::selected::scan_stream [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
    352,170 ( 0.07%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-xlsx/src/raw/worksheet/x14ac.rs:litchi_xlsx::raw::worksheet::selected::scan_stream
    351,973 ( 0.07%)  /home/zhuhe/code/litchi-worktrees/0658/crates/litchi-ooxml-common/src/mce/stream.rs:litchi_ooxml_common::mce::stream::process_markup_compatibility_stream_with_stoppable_observers::<litchi_xlsx::error::Error, litchi_xlsx::error::Error, litchi_xlsx::raw::worksheet::x14ac::capture_stream_with_stoppable_active<litchi_xlsx::raw::worksheet::selected::scan_stream::{closure#0}>::{closure#0}, litchi_xlsx::raw::worksheet::x14ac::capture_stream_with_stoppable_active<litchi_xlsx::raw::worksheet::selected::scan_stream::{closure#0}>::{closure#1}> [/home/zhuhe/code/litchi-worktrees/targets/0658-staged/probe-after]
