sweep	before_sha256	after_sha256	identical
corpus-ppt-open-ppt_with_png-payload.tsv	9622cd5e44ee3accbc3f31feaf0f268f9c6b1ba4f369139ac12f8dc7b9640caa	9622cd5e44ee3accbc3f31feaf0f268f9c6b1ba4f369139ac12f8dc7b9640caa	yes
corpus-ppt-open-slideshow-text-margins-dir.tsv	2c91adc9312588ccf464d6a9d614e0ab899310a4afb2e8393174426e98ce434b	2c91adc9312588ccf464d6a9d614e0ab899310a4afb2e8393174426e98ce434b	yes
corpus-ppt-open-slideshow-text-margins-fat.tsv	3de8d2ee2055cc21150d57c89e061e8381d55da45156084e4dd510cd3d91a79b	3de8d2ee2055cc21150d57c89e061e8381d55da45156084e4dd510cd3d91a79b	yes
corpus-ppt-open-slideshow-text-margins-payload.tsv	728612087c91b4fb2d91c68b1eb87d16133c1af987d9ddda866778c48cebf52b	728612087c91b4fb2d91c68b1eb87d16133c1af987d9ddda866778c48cebf52b	yes
corpus-ppt-open-sound-dir.tsv	bfcaf8313c860e2195f44e6c5b88a8875957ca9c2d443e754db803bce09c48d7	bfcaf8313c860e2195f44e6c5b88a8875957ca9c2d443e754db803bce09c48d7	yes
corpus-ppt-open-sound-fat.tsv	d061731db8e9e1b6e12ee576a173881c37127b0dcd9a4c91150658c3a656805d	d061731db8e9e1b6e12ee576a173881c37127b0dcd9a4c91150658c3a656805d	yes
corpus-ppt-open-sound-payload.tsv	da4856207c6631681e8eac9557ddabbaec2ac55b8a80ad59caeda1be7a7cfab7	da4856207c6631681e8eac9557ddabbaec2ac55b8a80ad59caeda1be7a7cfab7	yes
corpus-ppt-open-testPPT_oleWorkbook-dir.tsv	88fd302f3de566cdc9b3013af8500e44dcafaae034cb08f27fc2968888879d77	88fd302f3de566cdc9b3013af8500e44dcafaae034cb08f27fc2968888879d77	yes
corpus-ppt-open-testPPT_oleWorkbook-fat.tsv	d4d9fb4033252cdb1c6e99c88cc5e17f7ce372a71dc199123e1dc02c85ee8eee	d4d9fb4033252cdb1c6e99c88cc5e17f7ce372a71dc199123e1dc02c85ee8eee	yes
corpus-ppt-open-testPPT_oleWorkbook-payload.tsv	5cf79c9aa46b6ff21c9385bb6d70eace095fdb2744f027325dd064a5b48a8983	5cf79c9aa46b6ff21c9385bb6d70eace095fdb2744f027325dd064a5b48a8983	yes
corpus-ppt-open-text-margins-dir.tsv	2c91adc9312588ccf464d6a9d614e0ab899310a4afb2e8393174426e98ce434b	2c91adc9312588ccf464d6a9d614e0ab899310a4afb2e8393174426e98ce434b	yes
corpus-ppt-open-text-margins-fat.tsv	3de8d2ee2055cc21150d57c89e061e8381d55da45156084e4dd510cd3d91a79b	3de8d2ee2055cc21150d57c89e061e8381d55da45156084e4dd510cd3d91a79b	yes
corpus-ppt-open-text-margins-payload.tsv	728612087c91b4fb2d91c68b1eb87d16133c1af987d9ddda866778c48cebf52b	728612087c91b4fb2d91c68b1eb87d16133c1af987d9ddda866778c48cebf52b	yes
corpus-ppt-open-text_shapes-dir.tsv	ef5b8c9dfcf480b97c50c3d2490365c90967346509e3d50da1d481be9775a45a	ef5b8c9dfcf480b97c50c3d2490365c90967346509e3d50da1d481be9775a45a	yes
corpus-ppt-open-text_shapes-fat.tsv	df438a52e9dde8e11ef1dcd3a1dd4c99b9aec09b74b4b48ca47e16a3dd1074e1	df438a52e9dde8e11ef1dcd3a1dd4c99b9aec09b74b4b48ca47e16a3dd1074e1	yes
corpus-ppt-open-text_shapes-payload.tsv	e5839292843cad4b45d465833f248f79c78f884b9257c9f040bcc193883a3bad	e5839292843cad4b45d465833f248f79c78f884b9257c9f040bcc193883a3bad	yes
sweep-45543-ppt-open-index-region.tsv	92a08cb32587eb62891ee7d29f5ac79c9f12ea0ec3686635afc66c0cacd09f71	92a08cb32587eb62891ee7d29f5ac79c9f12ea0ec3686635afc66c0cacd09f71	yes
sweep-45543-ppt-open.tsv	5001280d08917aa79045715c275d54db4c00028433b9a888f28fe155dbf3fbd2	5001280d08917aa79045715c275d54db4c00028433b9a888f28fe155dbf3fbd2	yes
sweep-documentProperties-doc-open-fat-region.tsv	7f89e5005b860930e9f464340c444ec2e17281da913d5b531968c82ffff43eac	45e13d99d60607322b98a5f1a0344f7993d48eccdbd4a93b109fef5b55543532	no
sweep-documentProperties-doc-open-index-region.tsv	f89c3c0e97bb7dfebd4e93eff0d1cbb77277f81952bd9156ad380fbbcec81c16	fcf3eab9052d34407e9337f9f2be370c240b7d40fce4fafd256eec3eb336f624	no
sweep-documentProperties-doc-open-read.tsv	77c0fc67b676aff562b3606b67e52bb6785bd4ca8af00d191d692eebff43bf1d	c758ce9bed468cf50388dc51840b99730dfed0c1add24c4fd1fd0b868f60bd15	no
sweep-documentProperties-doc-open.tsv	b1738001dd0f8a02bb2266523d1a6c95432e42ab4792848c3ca7750801836083	4b5dc0ce0b67adb8adb912a7a2dd6600892c376a4c7c3f3d433eb795b3e211ae	no
