sweep	before_sha256	after_sha256	identical
corpus-doc-open-footnote-payload.tsv	32675442d07c5ce79180f0209f819ade760f1b2da1d3d02127893acb04356419	084822d50b7c4e305417a8bc8899a01a9e5ed85ace06c6c7ddb6cff70c257e31	no
corpus-doc-open-lists-margins-dir.tsv	c16552f97b69b56576dc76496aba381bc3941d6c51d562431fa37bcbcb7608a8	4f13a5d0f0e9ee4825333973ea8b09ae69ce038a8ab475973c7be7e8d939d518	no
corpus-doc-open-lists-margins-fat.tsv	b3047b3cf570fdefb14fa4366dfea4dafb41fa4746ab68746fff214c7019f23d	a7c1e9b40f7475365a3b1f38f345819792fbba157b5171802bb33b1dd1d207fd	no
corpus-doc-open-lists-margins-payload.tsv	ea6a1dbbbcb1915686820c4f0a6c4666667fa8c4675fa5c094bf8ee77ae5e4da	3f22185231453ec0fb891189c4a0fbd1e8610c84089c27358739d1ee524d6404	no
corpus-doc-open-noheadfoot-litchi-dir.tsv	fa7fde4c9980df1bcf7695c6c366fe38b17eb49f20cb6bbafaee6cd47685a3fb	f61afe24383b5819c995d6c2a5630b013161152aae4e1ef446afdcc0d7e4fc76	no
corpus-doc-open-noheadfoot-litchi-fat.tsv	78399ad867be912afeed3a94006bae8fed42fc8a64f8d045e6f223611f0147b1	37e75dc1de3792387b16798484409a7a4ed8809aa9860f13ef686f84f35eee05	no
corpus-doc-open-noheadfoot-litchi-payload.tsv	782982f40d78d757d25da3467e50c52b7bf23d7b511d7132ce36c9bac56a007a	d83d7110f2367f8320b6ffe65a3df27366bd90a30d85c6305879bec02c47ee95	no
corpus-doc-open-picture-dir.tsv	d53594798d5b37315fde4a63a2628a27d2ae3172d7608b3a2470576066a2464b	9f4dc08391c7822201dd5973fae46b705e57f66a946f20d102d779395a7d885c	no
corpus-doc-open-picture-fat.tsv	9a7ad414c7e0f9e6d11327d273a6a5dbd9e8f1794419582e213d6b7dae4cee7c	f76692bd50ef8bbfa22d1346e7cb048e99b830922ec94154fa33e3974312c69b	no
corpus-doc-open-picture-payload.tsv	0657308e3bc94bb5789d5793deb6604d5938db2f83b299b4df3942faba55669b	7478da2de350d02fb1b4caa35b7ecd27898ebeb5dfda7147785a33bf4b81a6bc	no
corpus-doc-open-table-merged-cells-dir.tsv	a4fd4205d2b8d67eea5407077fc4698566b393e6422872225fffdcf16d8e5eca	8db71f9de797fd40d70e4b280cfcb3ea61846ff2eb24e76a1ef6b3ca39343c35	no
corpus-doc-open-table-merged-cells-fat.tsv	b06fd10346d38e231abea1f6932503edc588cdf1b2e19392c8106757ebf5f578	73737ea87142dc83feb17d9eb1ad27fcbfd2e3e67da3dadf8c02a4c1b2258a7b	no
corpus-doc-open-table-merged-cells-payload.tsv	5db5bd066abfd0390f1f2c64c29fd428f62bca21f11c4322df41e95237a16965	fc2c7983955bccfda1c9c3defdaa6bdd681d73d519529d44e81bd3dcc907ac02	no
corpus-doc-read-documentProperties-dir.tsv	a30b53cc578a9a5b75bf35a6025573e8425feb267bc30c9906e8097c217ced33	a9487d04ef1b3bdaaa844443c7ea2ea93d7604aac48b3332fa7cde4e3f74dcb4	no
corpus-doc-read-documentProperties-fat.tsv	128e2289b793e77cc51a9a2a2e8e9e5eb102f8c78a9b12286db751e23e3aaa19	1861f114e6956704abaff841b8741294013bc59bed0477d1e77a5b705e5b7a84	no
corpus-doc-read-documentProperties-payload.tsv	77c0fc67b676aff562b3606b67e52bb6785bd4ca8af00d191d692eebff43bf1d	c758ce9bed468cf50388dc51840b99730dfed0c1add24c4fd1fd0b868f60bd15	no
corpus-doc-read-duplicate-style-names-dir.tsv	1bf820678764c63609b6dbb3eb06110a809c0977e0e6d2d793915789b45353bf	92606fe26243809a0d7ef5c88007139876145e08564ccab5627a18752957954b	no
corpus-doc-read-duplicate-style-names-fat.tsv	2785bc99cfd19e6ef632905497e622166a2ea80f1656c025bb58a36165ebccd5	1185a13977085ec58d42d7130242cc481544b58645e1fcce2cf8ebf970110301	no
corpus-doc-read-duplicate-style-names-payload.tsv	c900405447c25b8e76b4f8b9aab1ab12869cd295bb4fd2fa9b94b57ef0e90bae	29218c026d755afaaee5f1a2e9d12bfa079da26219a1ec4162ac85145cb9b8c3	no
corpus-doc-read-endingnote-dir.tsv	5f01256a2e205f184b1d3eee8c78929bd31e366bbbb4c1c989e68b961a6f6ca2	c7cb1c09aa13a449172f33a4aaee3753757141fbe1981190af40b5d8f45dc09f	no
corpus-doc-read-endingnote-fat.tsv	f6f4ef8105666448773fb0fcf89052bc228ad1c0ac89936f4fb4021d3ad924d5	5d8f0f56f0fcb7f70c7281f9af2c4cfc1f79e2370add2af5b5840519c61e2230	no
corpus-doc-read-endingnote-payload.tsv	b756afd7b23787372bacef442dfb022664aeb54693543ee0fbc86068f2d6da42	b6de52ee4e8314eed0e9dfbb34b2593756a2953e33d19c7fcdbf892d06de8446	no
corpus-doc-read-footnote-dir.tsv	914f61d8f107316771c3ed99ef3354a100eb204c0b1482e1f65e13618bc4ae13	1ca96d8fd0841904b919e8233fae918d13ec182a7b263136bf68a04ac227b778	no
corpus-doc-read-footnote-fat.tsv	8ea0002b3a30c889517ee6c7f174fe600484f1e940cb1c0a95253312ff1986da	059345ce52cf33590d211a07e7de84a7b8a43f8cbe24ec13bc5518f2e6afb3d5	no
corpus-doc-read-footnote-payload.tsv	8f601cf1db0b599767ee954ee45da48203704998b8d7c315c698dc06bf8ca209	612e8f78df4b32d635085b0f1505768981c815e67a85192bde893712ad960d81	no
corpus-doc-read-lists-margins-dir.tsv	1c5482e9c245e65fa07f3fda348e8002fdfa7d54d92635e1f023fdde197ca557	18e3b1a0b0e0a9a15fd85bc883314e0075998beff2ee46963e327074cdd650dd	no
corpus-doc-read-lists-margins-fat.tsv	eb855961d6077100b6eb44b58b58e9c6c9cc04e86fde4fef1b8adf22af69a992	71452d863307333273d4697bb87adc1ef4c861c286430300e3ae19f354267686	no
corpus-doc-read-lists-margins-payload.tsv	91085c91459afff6b17f5d0dc51630c3262cda48f69a561cec18ac58778016d0	5f4c67580b5beb6e5fcfc5a531128f9075514e9ed76e6e68e11e6c1d19149536	no
corpus-doc-read-noheadfoot-litchi-dir.tsv	4d57daa7fd02651d17ba2fdc4a70cb39c5ea1a8e02eec70911947ef87491b324	9746ace5f92ec1c9214852ac18a8d38e697baf2d07ad251372c28271c055b79c	no
corpus-doc-read-noheadfoot-litchi-fat.tsv	b9defb51882aa74578e4dad417cb5b5ea68c202ce1ac3fcc1dc74453a1307d2f	9137c8e4045c769dfe11ff8bb11a8329be46ae306a20c59aa07b33f771329e3f	no
corpus-doc-read-noheadfoot-litchi-payload.tsv	c594285b4aa831b6dd57e0604ae177a4bc85b07cd9eee1bc9d2bba0ee0d12c86	e32b7f7b7c41e1dd125bf771fdcd036eb28449fbff91b5f1963148d8ab609acc	no
corpus-doc-read-picture-dir.tsv	7f1e540d9c6a0da0ba1e0f6eac356f96acc3d81c9c326f08e85c401452adafc8	c56a6449cb34ff0600b0f5dbe650fef504afb8f02422e374f637612630cfedd0	no
corpus-doc-read-picture-fat.tsv	d8290e9f0f948a3ddd8cf7cb912c5eba81be9ff55c3223ba41edb0a5701b5c66	6d7708af1c1816ccae3fe5cc7e328654ea844fedb18f38a452a261d052bcc8f4	no
corpus-doc-read-picture-payload.tsv	8f75c6cb47fe3acb2e253bd69363ab597f7af5d6ae6e754c27e3f836d9a0238f	f39d5b1a779512470142794e0815d44264a0d097ebae441072c6d9411f3576fc	no
corpus-doc-read-table-merged-cells-dir.tsv	71cd76e3ef75b891b025680a140254a5a1d59b1b0471c5c2f0020f13a2f1cda4	02cd199ba5af6afd80ad999e4a81bd582cea85391a689b4b834d17362e2bfdc9	no
corpus-doc-read-table-merged-cells-fat.tsv	cdc28a07de74d6a275f40a30cc4a81d4d23269ea6b871a7e7d8f77a09282f734	a198c4072da09818aa8be67ea87ac2f1f4479b87c59956830afba35463db73f5	no
corpus-doc-read-table-merged-cells-payload.tsv	b02ee9bc7b9f3c5d0b758dd4fdf41f90109090ead77f544971e0ea312fe6da01	a85dc2443ba509f8d32de90254a13cff2cf4b1cef854497908efce8a64014da7	no
corpus-ppt-open-41246-1-dir.tsv	c9c546d02038720e2fde203b82d1252e03913e3052e598a4d8f8ecaa5e1af10e	c9c546d02038720e2fde203b82d1252e03913e3052e598a4d8f8ecaa5e1af10e	yes
corpus-ppt-open-41246-1-fat.tsv	15c78cc4b34b5927870960c91f59078ff20def5ec69f179d28a7409105359f5c	15c78cc4b34b5927870960c91f59078ff20def5ec69f179d28a7409105359f5c	yes
corpus-ppt-open-41246-1-payload.tsv	1dc2acca3bccf4760cb5492bdf2c52f0b5f1f4f62908d8c403b06d5756be31b3	1dc2acca3bccf4760cb5492bdf2c52f0b5f1f4f62908d8c403b06d5756be31b3	yes
corpus-ppt-open-45543-dir.tsv	863d847d5af62e5edb52e748e0989f10615ca7ca7db78887752e37f841456b90	863d847d5af62e5edb52e748e0989f10615ca7ca7db78887752e37f841456b90	yes
corpus-ppt-open-45543-fat.tsv	54b668ce14227b93d83374ab5e067de69eb8a6942bf6dc0e8b57086e989b78ce	54b668ce14227b93d83374ab5e067de69eb8a6942bf6dc0e8b57086e989b78ce	yes
corpus-ppt-open-45543-payload.tsv	5001280d08917aa79045715c275d54db4c00028433b9a888f28fe155dbf3fbd2	5001280d08917aa79045715c275d54db4c00028433b9a888f28fe155dbf3fbd2	yes
corpus-ppt-open-45543-transition-litchi-dir.tsv	8a0fb394bbc51eabbf9f31cded30b04ebd7199c2d29c419f3c8bf82374dcb56e	8a0fb394bbc51eabbf9f31cded30b04ebd7199c2d29c419f3c8bf82374dcb56e	yes
corpus-ppt-open-45543-transition-litchi-fat.tsv	c2a85509de584ae800a04058eb3d212d95fdf34fb78968ecf89758e0e9af6762	c2a85509de584ae800a04058eb3d212d95fdf34fb78968ecf89758e0e9af6762	yes
corpus-ppt-open-45543-transition-litchi-payload.tsv	a0cc9eb13f7c0791ec6a7bda7c7349d5d21d95ffe2e0a8e5afe497d04c01be89	a0cc9eb13f7c0791ec6a7bda7c7349d5d21d95ffe2e0a8e5afe497d04c01be89	yes
corpus-ppt-open-54880_chinese-dir.tsv	bb0c8e92d48f451bdeda271144fd7b3f66f7b27a448fac5bc09459a35c110f9b	bb0c8e92d48f451bdeda271144fd7b3f66f7b27a448fac5bc09459a35c110f9b	yes
corpus-ppt-open-54880_chinese-fat.tsv	9eb32de16a147341e6f3b8d16722b57d25c3ba47731466fc6945a82847226686	9eb32de16a147341e6f3b8d16722b57d25c3ba47731466fc6945a82847226686	yes
corpus-ppt-open-54880_chinese-payload.tsv	13b5634adebfe7c07bf6e7223ab38f74f5fd8d494eb0c5473169693373cf5a65	13b5634adebfe7c07bf6e7223ab38f74f5fd8d494eb0c5473169693373cf5a65	yes
corpus-ppt-open-Password_Protected-56-hello-dir.tsv	a45186253b8935761d441870bf126554be5f4c991a3318dae5a48e3c54526ab5	a45186253b8935761d441870bf126554be5f4c991a3318dae5a48e3c54526ab5	yes
corpus-ppt-open-Password_Protected-56-hello-fat.tsv	02dc30eea0a6a5762eb8635445aa413f6669bb7f5d93114a84b58820bbff9ab8	02dc30eea0a6a5762eb8635445aa413f6669bb7f5d93114a84b58820bbff9ab8	yes
corpus-ppt-open-Password_Protected-56-hello-payload.tsv	5d3d05693a074f78e21f312a48e84f3208ba5d0ada3a3ce75dad27a2059c1b02	5d3d05693a074f78e21f312a48e84f3208ba5d0ada3a3ce75dad27a2059c1b02	yes
corpus-ppt-open-Password_Protected-hello-dir.tsv	453019387462ca3a2c5d6ad986520638a23d3aeabf67f6025da6cef6097f2b80	453019387462ca3a2c5d6ad986520638a23d3aeabf67f6025da6cef6097f2b80	yes
corpus-ppt-open-Password_Protected-hello-fat.tsv	db6a26b30aed90b3e854e97c8d3141987173a4be54d2a0c153d2c4e180d7d35a	db6a26b30aed90b3e854e97c8d3141987173a4be54d2a0c153d2c4e180d7d35a	yes
corpus-ppt-open-Password_Protected-hello-payload.tsv	2580e30f601d0d6b0dbab656b7b9606db1d3a9ab4629d2172394cc739fcb8610	2580e30f601d0d6b0dbab656b7b9606db1d3a9ab4629d2172394cc739fcb8610	yes
corpus-ppt-open-Password_Protected-np-hello-dir.tsv	0ca08e1ba4a94b1331c0b32e7773db7e1fe4f88a96737eeca708e62dd20e5045	0ca08e1ba4a94b1331c0b32e7773db7e1fe4f88a96737eeca708e62dd20e5045	yes
corpus-ppt-open-Password_Protected-np-hello-fat.tsv	a048c7139058773aef6bf89d642743c2f6d7fa970a0e512d29248dd712af73b0	a048c7139058773aef6bf89d642743c2f6d7fa970a0e512d29248dd712af73b0	yes
corpus-ppt-open-Password_Protected-np-hello-payload.tsv	01d851b44ed27825abacb0a70c1250a288b0d8a1dca4bf069aeb291e857e8bb3	01d851b44ed27825abacb0a70c1250a288b0d8a1dca4bf069aeb291e857e8bb3	yes
corpus-ppt-open-SampleShow-dir.tsv	daa21f42f8db6ad38e91aaacd6f1e960fa2f92630b0537fdf20b159188510281	daa21f42f8db6ad38e91aaacd6f1e960fa2f92630b0537fdf20b159188510281	yes
corpus-ppt-open-SampleShow-fat.tsv	cd4b8422f8373c41037d8dc47e2be6b50901135a2559109e729a6912db6b7b95	cd4b8422f8373c41037d8dc47e2be6b50901135a2559109e729a6912db6b7b95	yes
corpus-ppt-open-SampleShow-payload.tsv	364cab991b840470d9cd4927db761738a818d981a45ffb38e5b6ced47a5bf297	364cab991b840470d9cd4927db761738a818d981a45ffb38e5b6ced47a5bf297	yes
corpus-ppt-open-WithComments-dir.tsv	31ac6dfdb763fdea64ff4ee0769f7541128756fcf69e2af3ab81d8af35c61c6c	31ac6dfdb763fdea64ff4ee0769f7541128756fcf69e2af3ab81d8af35c61c6c	yes
corpus-ppt-open-WithComments-fat.tsv	5fcf759f76fc5b4b99e15a55f273560cb4a4dd47a2e683137d77890a1516de0c	5fcf759f76fc5b4b99e15a55f273560cb4a4dd47a2e683137d77890a1516de0c	yes
corpus-ppt-open-WithComments-payload.tsv	c4738c7e6fe58b67df1b0ea9a0874c1f206b1acaa4806f3e6de41050562d606b	c4738c7e6fe58b67df1b0ea9a0874c1f206b1acaa4806f3e6de41050562d606b	yes
corpus-ppt-open-WithLinks-dir.tsv	58f9259e1c3b7bb13bb895017c11271df30af63ed4ecb2f1bd977fcffc375a4b	58f9259e1c3b7bb13bb895017c11271df30af63ed4ecb2f1bd977fcffc375a4b	yes
corpus-ppt-open-WithLinks-fat.tsv	208093458dd7acd65632db3bca4221c66c464eb9598fe6fe5a68ffdc8fe7918f	208093458dd7acd65632db3bca4221c66c464eb9598fe6fe5a68ffdc8fe7918f	yes
corpus-ppt-open-WithLinks-payload.tsv	90ad8438d2d3aba5e0456ffe28d566d2d2fa5f4759c5dcb26531fcf3851434b5	90ad8438d2d3aba5e0456ffe28d566d2d2fa5f4759c5dcb26531fcf3851434b5	yes
corpus-ppt-open-basic_test_ppt_file-dir.tsv	34d26132391ab5942615e4fb3d82f8122cec58a792acc24f3d1451c7d23c4ce5	34d26132391ab5942615e4fb3d82f8122cec58a792acc24f3d1451c7d23c4ce5	yes
corpus-ppt-open-basic_test_ppt_file-fat.tsv	078f6c1d30df736d427313ba7ee45cd76078fc4128b6d338cea21dc2ec95e186	078f6c1d30df736d427313ba7ee45cd76078fc4128b6d338cea21dc2ec95e186	yes
corpus-ppt-open-basic_test_ppt_file-payload.tsv	d3e0bc8fc0def4d5a0c1701066d3f3fc20a62a90657203394fccabb53dc4b0f7	d3e0bc8fc0def4d5a0c1701066d3f3fc20a62a90657203394fccabb53dc4b0f7	yes
corpus-ppt-open-bug58144-headers-footers-2003-dir.tsv	fbd0e460ffbb282115f12e90aab97915c7e659a23d09f200a3fc5e3bf09e05a4	fbd0e460ffbb282115f12e90aab97915c7e659a23d09f200a3fc5e3bf09e05a4	yes
corpus-ppt-open-bug58144-headers-footers-2003-fat.tsv	cb07585faf90b41b7fca18d00d5e401a85d0378c2a4f65718d3fd9b60162d040	cb07585faf90b41b7fca18d00d5e401a85d0378c2a4f65718d3fd9b60162d040	yes
corpus-ppt-open-bug58144-headers-footers-2003-payload.tsv	3dbf002da1665ece410953716bc278e50b9c3030bb3d0bcefd3556f1c4bd9a59	3dbf002da1665ece410953716bc278e50b9c3030bb3d0bcefd3556f1c4bd9a59	yes
corpus-ppt-open-bug58144-headers-footers-2007-dir.tsv	2a866c27d9ba60cfb851b954fb3751e46f1095e557666c16e7836d58b8b973b7	2a866c27d9ba60cfb851b954fb3751e46f1095e557666c16e7836d58b8b973b7	yes
