total_Ir	61101470451
calls	45	litchi_pptx::opened::model::package_fingerprint_with_memo
calls	0	<no callee matching capture_with_provenance>
calls	45	litchi_pptx::opened::model::capture_internal
calls	45	litchi_pptx::notes::package::load_snapshot
calls	5	litchi_pptx::opened::model::packages_equal
calls	0	<no callee matching payload_digest>
calls	0	<no callee matching part_digest>
calls	27628	sha2::sha256::compress256
calls	10	litchi_pptx::opened::model::PartDigests::project
