total_Ir	4601326127
calls	102	litchi_pptx::opened::model::package_fingerprint
calls	0	<no callee matching capture_with_provenance>
calls	80	litchi_pptx::opened::model::capture_internal
calls	80	litchi_pptx::notes::package::load_snapshot
calls	8	litchi_pptx::opened::model::packages_equal
calls	0	<no callee matching payload_digest>
calls	0	<no callee matching part_digest>
calls	19417	sha2::sha256::compress256
calls	0	<no callee matching project>
