mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	338695	720349	33.0757	70.3466
doc-open	documentProperties.doc	9728	332564	709019	34.1862	72.8843
doc-open	duplicate-style-names.doc	64512	1034836	1609521	16.0410	24.9492
doc-open	endingnote.doc	9728	332802	709414	34.2107	72.9250
doc-open	footnote.doc	9728	335732	712195	34.5119	73.2108
doc-open	lists-margins.doc	10752	346910	733164	32.2647	68.1886
doc-open	picture.doc	1448448	19006126	24221419	13.1217	16.7223
doc-open	table-merged-cells.doc	17408	428814	822519	24.6332	47.2495
ppt-open	45543-transition-litchi.ppt	842240	3757353	4859207	4.4611	5.7694
ppt-open	45543-transition-litchi.ppt	397312	1807504	2357078	4.5493	5.9326
ppt-open	SampleShow.ppt	125440	612075	879241	4.8794	7.0093
ppt-open	empty.ppt	10240	117560	250633	11.4805	24.4759
ppt-open	empty_textbox.ppt	11776	122793	247589	10.4274	21.0249
ppt-open	ppt_with_png.ppt	39424	245251	408046	6.2209	10.3502
ppt-open	text-margins.ppt	44032	258173	424458	5.8633	9.6398
ppt-open	text_shapes.ppt	11264	118934	247827	10.5588	22.0017
ppt-open	empty.ppt	10240	117279	253126	11.4530	24.7194
ppt-open	41246-1.ppt	275456	1271670	1719726	4.6166	6.2432
ppt-open	45543.ppt	385024	1710229	2284446	4.4419	5.9333
ppt-open	54880_chinese.ppt	103936	515004	761192	4.9550	7.3237
ppt-open	Password_Protected-56-hello.ppt	10752	116021	241863	10.7907	22.4947
ppt-open	Password_Protected-hello.ppt	10752	115969	241867	10.7858	22.4950
ppt-open	Password_Protected-np-hello.ppt	10752	116051	242078	10.7934	22.5147
ppt-open	WithComments.ppt	10752	116909	246174	10.8733	22.8956
ppt-open	WithLinks.ppt	20992	162660	311808	7.7487	14.8537
ppt-open	basic_test_ppt_file.ppt	15360	135859	268063	8.8450	17.4520
ppt-open	bug58144-headers-footers-2003.ppt	11776	120355	250710	10.2204	21.2899
ppt-open	bug58144-headers-footers-2007.ppt	142848	681525	980091	4.7710	6.8611
ppt-open	cryptoapi-proc2356.ppt	1341952	5896059	7503430	4.3936	5.5914
ppt-open	datetime.ppt	114176	561814	823950	4.9206	7.2165
ppt-open	headers_footers.ppt	12800	124468	254099	9.7240	19.8515
ppt-open	headers_footers_2007.ppt	169472	800751	1097954	4.7250	6.4787
ppt-open	incorrect_slide_order.ppt	9728	113061	236811	11.6223	24.3433
ppt-open	ole2-embedding-2003.ppt	40448	247368	414801	6.1157	10.2552
ppt-open	ppt_with_embeded.ppt	180736	837192	1166301	4.6321	6.4531
ppt-open	sound.ppt	43520	259268	434480	5.9574	9.9834
ppt-open	testPPT_oleWorkbook.ppt	98304	496318	741218	5.0488	7.5401
ppt-open	text-margins.ppt	44032	259137	424747	5.8852	9.6463
