mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	338099	720213	33.0175	70.3333
doc-open	documentProperties.doc	9728	332558	708919	34.1857	72.8741
doc-open	duplicate-style-names.doc	64512	1033174	1609223	16.0152	24.9446
doc-open	endingnote.doc	9728	333026	709479	34.2338	72.9316
doc-open	footnote.doc	9728	333182	712059	34.2498	73.1969
doc-open	lists-margins.doc	10752	347327	733160	32.3035	68.1882
doc-open	picture.doc	1448448	18971611	24221089	13.0979	16.7221
doc-open	table-merged-cells.doc	17408	426873	822356	24.5217	47.2401
ppt-open	45543-transition-litchi.ppt	842240	3741594	4858009	4.4424	5.7680
ppt-open	45543-transition-litchi.ppt	397312	1771508	2356018	4.4587	5.9299
ppt-open	SampleShow.ppt	125440	606969	878681	4.8387	7.0048
ppt-open	empty.ppt	10240	116578	250428	11.3846	24.4558
ppt-open	empty_textbox.ppt	11776	119789	247348	10.1723	21.0044
ppt-open	ppt_with_png.ppt	39424	240908	407773	6.1107	10.3433
ppt-open	text-margins.ppt	44032	258659	424477	5.8743	9.6402
ppt-open	text_shapes.ppt	11264	118733	247765	10.5409	21.9962
ppt-open	empty.ppt	10240	116572	253137	11.3840	24.7204
ppt-open	41246-1.ppt	275456	1276147	1720124	4.6329	6.2446
ppt-open	45543.ppt	385024	1717986	2284732	4.4620	5.9340
ppt-open	54880_chinese.ppt	103936	516339	761188	4.9679	7.3236
ppt-open	Password_Protected-56-hello.ppt	10752	116562	241918	10.8409	22.4998
ppt-open	Password_Protected-hello.ppt	10752	115916	241908	10.7809	22.4989
ppt-open	Password_Protected-np-hello.ppt	10752	116286	241978	10.8153	22.5054
ppt-open	WithComments.ppt	10752	117296	245928	10.9092	22.8728
ppt-open	WithLinks.ppt	20992	163003	311730	7.7650	14.8499
ppt-open	basic_test_ppt_file.ppt	15360	135896	268162	8.8474	17.4585
ppt-open	bug58144-headers-footers-2003.ppt	11776	120608	250687	10.2418	21.2879
ppt-open	bug58144-headers-footers-2007.ppt	142848	682158	980070	4.7754	6.8609
ppt-open	cryptoapi-proc2356.ppt	1341952	5864552	7504218	4.3702	5.5920
ppt-open	datetime.ppt	114176	562746	824119	4.9288	7.2180
ppt-open	headers_footers.ppt	12800	124988	254194	9.7647	19.8589
ppt-open	headers_footers_2007.ppt	169472	786006	1095813	4.6380	6.4660
ppt-open	incorrect_slide_order.ppt	9728	111544	236694	11.4663	24.3312
ppt-open	ole2-embedding-2003.ppt	40448	246219	414789	6.0873	10.2549
ppt-open	ppt_with_embeded.ppt	180736	836030	1164858	4.6257	6.4451
ppt-open	sound.ppt	43520	260005	434520	5.9744	9.9844
ppt-open	testPPT_oleWorkbook.ppt	98304	494921	740300	5.0346	7.5307
ppt-open	text-margins.ppt	44032	258251	424935	5.8651	9.6506
