kind	selector	left_leg	right_leg	p50_pct	mean_pct	p95_pct	p99_pct	p50_delta_ns	mean_delta_ns
same_side	file-source/open	A1	A2	0.061694247422722816	0.4089732897859539	-0.4774962511352196	-2.7301736274049744	300	2035.423999999999
same_side	file-source/open	B1	B2	0.04706431235970231	0.3394092107197968	0.18109870054663027	-2.592968211023612	230	1691.5659999999916
candidate	file-source/open	A1	B1	-0.49848951917560036	-0.13949051643033092	-0.2962131185626888	1.5976849679336775	-2424	-694.2320000000182
candidate	file-source/open	A2	B2	-0.5132014593523455	-0.20943769607131765	0.36119358539811	1.7291101386516108	-2494	-1038.0900000000256
same_side	file-source/list	A1	A2	0.5103331146974703	1.0192577443605906	1.917884757824547	6.59542478684531	2482	5033.7880000000005
same_side	file-source/list	B1	B2	-0.049603889274239525	0.4368062744085847	3.0469547434712583	3.41606999331235	-241	2163.8940000000293
candidate	file-source/list	A1	B1	0.10280683213083609	-0.30814832114983925	-2.816083398120528	-3.397152862362972	500	-1521.8460000000196
candidate	file-source/list	A2	B2	-0.45942376727489165	-0.8984109026015238	-1.6325184482829698	-6.916640348285569	-2223	-4391.739999999991
same_side	file-source/one-cell	A1	A2	-0.13370830342223444	-0.014267511947382476	-1.4913930515644735	1.642563806879023	-881	-95.51599999994505
same_side	file-source/one-cell	B1	B2	0.710164650859673	1.0453809204039048	4.213315089242602	8.748517200474495	4446	6664.540000000037
candidate	file-source/one-cell	A1	B1	4.984845886382849	4.771328093073383	2.049148681518088	2.39083110739795	32845	31942.371999999974
candidate	file-source/one-cell	A2	B2	5.785582423178705	5.78027327071032	7.554847264565705	9.442725013788012	38172	38702.427999999956
same_side	atomic-file/open	A1	A2	-0.5048630707718593	-0.10231962709167929	0.9481884898587181	-0.9737623581568752	-1442	-297.8660000000382
same_side	atomic-file/open	B1	B2	-0.8340449261976544	-0.6295823984457172	-2.712375851184948	-1.6225045175083974	-2393	-1840.6780000000144
candidate	atomic-file/open	A1	B1	-0.452696220879344	-0.4299529360493858	1.0577827164714932	-3.5475179735853617	-1293	-1251.6500000000233
candidate	atomic-file/open	A2	B2	-0.781707215115793	-0.9589414301150698	-2.598731454143115	-4.212796149191024	-2244	-2794.4619999999995
same_side	atomic-file/list	A1	A2	-0.3984690400041944	-1.1071856366925128	-1.74157665299461	-3.7970790854500676	-1140	-3222.3559999999707
same_side	atomic-file/list	B1	B2	0.2664917670613414	0.73265999403833	2.530952848871487	1.3398164883265888	772	2162.606000000029
candidate	atomic-file/list	A1	B1	-1.2565756129956833	-1.41958983379701	-1.4651700008282997	-2.999717189134571	-3595	-4131.5779999999795
candidate	atomic-file/list	A2	B2	-0.5859313802287326	0.42594061046558346	2.7957520971155994	2.097717112398487	-1683	1253.38400000002
same_side	atomic-file/one-cell	A1	A2	1.2901624453410507	0.35571071255600684	-1.8816095070796146	-5.699947129465672	4886	1365.2480000000214
same_side	atomic-file/one-cell	B1	B2	0.9445196652583155	1.132836789814089	4.267120422293566	6.439283716879541	3474	4240.445999999996
candidate	atomic-file/one-cell	A1	B1	2.879760873698219	2.4719394317552905	-0.32562690843069525	-1.6618551683045342	10906	9487.514000000025
candidate	atomic-file/one-cell	A2	B2	2.539684238121479	3.232561035602075	5.72919680155525	10.013616406380258	9494	12362.712
