12,434,516 (100.0%)  PROGRAM TOTALS
2,234,582 (17.97%)  ./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  989,772 ( 7.96%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  645,397 ( 5.19%)  ???:zlib_rs::inflate::inftrees::inflate_table [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  603,574 ( 4.85%)  ???:zlib_rs::inflate::inflate [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  449,252 ( 3.61%)  ???:<quick_xml::events::attributes::IterState>::next [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  447,876 ( 3.60%)  ???:<core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  378,929 ( 3.05%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  353,889 ( 2.85%)  ???:<core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  337,180 ( 2.71%)  ???:zlib_rs::inflate::inflate_fast_help [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  330,570 ( 2.66%)  ???:core::slice::memchr::memchr_aligned [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  306,104 ( 2.46%)  ???:soapberry_zip::office::normalize_str_fallibly [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  237,894 ( 1.91%)  ???:<std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&litchi_opc::packuri::PackURI> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  236,076 ( 1.90%)  ./malloc/./malloc/malloc.c:_int_free_merge_chunk [/usr/lib/x86_64-linux-gnu/libc.so.6]
  222,962 ( 1.79%)  ???:core::slice::memchr::memrchr [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  208,381 ( 1.68%)  ???:<litchi_opc::packuri::PackURI>::validate_percent_encoding [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  202,098 ( 1.63%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_control>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  188,151 ( 1.51%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_whitespace>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  167,784 ( 1.35%)  ./malloc/./malloc/malloc.c:free [/usr/lib/x86_64-linux-gnu/libc.so.6]
  167,224 ( 1.34%)  ???:<litchi_opc::packuri::PackURI>::new::<alloc::string::String> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  156,281 ( 1.26%)  ???:<litchi_opc::members::PartNameIndex>::insert [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  154,670 ( 1.24%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <litchi_opc::packuri::PackURI>::new<alloc::string::String>::{closure#0}>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  144,850 ( 1.16%)  ???:quick_xml::escape::normalize_attribute_value::<quick_xml::escape::is_xml10_normalization_char, quick_xml::escape::normalize_xml10_eol_step, quick_xml::escape::resolve_predefined_entity> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
  129,786 ( 1.04%)  ./malloc/./malloc/malloc.c:malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  103,042 ( 0.83%)  ???:<alloc::raw_vec::RawVecInner>::finish_grow [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
   95,188 ( 0.77%)  ???:litchi_opc::pkgreader::inspect_relationship_element [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
   81,189 ( 0.65%)  ???:core::str::converts::from_utf8 [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
   80,000 ( 0.64%)  ???:<zlib_rs::inflate::writer::Writer>::copy_match_runtime_dispatch [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
   75,025 ( 0.60%)  ???:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-before/release/zip-opc-read-probe]
   73,668 ( 0.59%)  ./malloc/./malloc/malloc.c:_int_free_maybe_trim [/usr/lib/x86_64-linux-gnu/libc.so.6]
