10,402,086 (100.0%)  PROGRAM TOTALS
962,393 ( 9.25%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
645,397 ( 6.20%)  ???:zlib_rs::inflate::inftrees::inflate_table [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
603,574 ( 5.80%)  ???:zlib_rs::inflate::inflate [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
449,252 ( 4.32%)  ???:<quick_xml::events::attributes::IterState>::next [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
447,876 ( 4.31%)  ???:<core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
353,889 ( 3.40%)  ???:<core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
346,967 ( 3.34%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
337,180 ( 3.24%)  ???:zlib_rs::inflate::inflate_fast_help [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
330,570 ( 3.18%)  ???:core::slice::memchr::memchr_aligned [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
306,104 ( 2.94%)  ???:soapberry_zip::office::normalize_str_fallibly [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
304,261 ( 2.92%)  ./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
237,894 ( 2.29%)  ???:<std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&litchi_opc::packuri::PackURI> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
230,178 ( 2.21%)  ???:core::slice::memchr::memrchr [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
226,772 ( 2.18%)  ./malloc/./malloc/malloc.c:_int_free_merge_chunk [/usr/lib/x86_64-linux-gnu/libc.so.6]
208,381 ( 2.00%)  ???:<litchi_opc::packuri::PackURI>::validate_percent_encoding [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
202,098 ( 1.94%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_control>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
188,151 ( 1.81%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_whitespace>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
167,224 ( 1.61%)  ???:<litchi_opc::packuri::PackURI>::new::<alloc::string::String> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
166,390 ( 1.60%)  ./malloc/./malloc/malloc.c:free [/usr/lib/x86_64-linux-gnu/libc.so.6]
156,299 ( 1.50%)  ???:<litchi_opc::members::PartNameIndex>::insert [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
154,670 ( 1.49%)  ???:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <litchi_opc::packuri::PackURI>::new<alloc::string::String>::{closure#0}>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
144,850 ( 1.39%)  ???:quick_xml::escape::normalize_attribute_value::<quick_xml::escape::is_xml10_normalization_char, quick_xml::escape::normalize_xml10_eol_step, quick_xml::escape::resolve_predefined_entity> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
129,415 ( 1.24%)  ./malloc/./malloc/malloc.c:malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
103,042 ( 0.99%)  ???:<alloc::raw_vec::RawVecInner>::finish_grow [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
 95,045 ( 0.91%)  ???:litchi_opc::pkgreader::inspect_relationship_element [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
 81,184 ( 0.78%)  ???:core::str::converts::from_utf8 [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
 80,000 ( 0.77%)  ???:<zlib_rs::inflate::writer::Writer>::copy_match_runtime_dispatch [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
 75,025 ( 0.72%)  ???:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()> [/home/zhuhe/code/litchi-worktrees/targets/0594-probe-after/release/zip-opc-read-probe]
 70,056 ( 0.67%)  ./string/../sysdeps/x86_64/multiarch/memcmp-avx2-movbe.S:__memcmp_avx2_movbe [/usr/lib/x86_64-linux-gnu/libc.so.6]
