% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 83.06    0.000922           0      2691           write
 11.35    0.000126           5        22           openat
  1.89    0.000021           0        79           read
  1.26    0.000014           1         9           fstat
  0.99    0.000011           0        21           close
  0.72    0.000008           4         2           lseek
  0.72    0.000008           1         6           pread64
  0.00    0.000000           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.001110           0      2842           total
