operation              shape    leg         allocations  allocated_bytes
eager_document         24       base                 26             2558
eager_document         24       after                26             2558
eager_text             24       base                 42             6283
eager_text             24       after                42             6283
eager_write_text       24       base                267             7781
eager_write_text       24       after                69             4755
source_text            24       base                 42             6283
source_text            24       after                42             6283
source_write_text      24       base                268             7877
source_write_text      24       after                70             4851
eager_document         200      base                 26             2558
eager_document         200      after                26             2558
eager_text             200      base                 45            28683
eager_text             200      after                45            28683
eager_write_text       200      base               1851            37349
eager_write_text       200      after               245            13555
source_text            200      base                 45            28683
source_text            200      after                45            28683
source_write_text      200      base               1852            37445
source_write_text      200      after               246            13651
eager_document         10000    base                 26             2558
eager_document         10000    after                26             2558
eager_text             10000    base                 51          1641483
eager_text             10000    after                51          1641483
eager_write_text       10000    base              90051          1683749
eager_write_text       10000    after             10045           503555
source_text            10000    base                 51          1641483
source_text            10000    after                51          1641483
source_write_text      10000    base              90052          1683845
source_write_text      10000    after             10046           503651
