operation              shape    leg             ir_per_op
eager_document         24       base                72302
eager_document         24       after               72304
eager_text             24       base               236793
eager_text             24       after              236736
eager_write_text       24       base               492538
eager_write_text       24       after              447706
source_text            24       base               237694
source_text            24       after              237859
source_write_text      24       base               562001
source_write_text      24       after              518205
eager_document         200      base               422890
eager_document         200      after              422895
eager_text             200      base              1709027
eager_text             200      after             1709349
eager_write_text       200      base              3762724
eager_write_text       200      after             3403197
source_text            200      base              1710801
source_text            200      after             1710853
source_write_text      200      base              4321281
source_write_text      200      after             3967527
eager_document         10000    base             19944486
eager_document         10000    after            19944655
eager_text             10000    base             83647782
eager_text             10000    after            83666762
eager_write_text       10000    base            185883829
eager_write_text       10000    after           167912905
source_text            10000    base             83680969
source_text            10000    after            83701911
source_write_text      10000    base            213526942
source_write_text      10000    after           195977858
