op,order,leg,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,2,base,21,686707,2057548,3089,-308,-1
eager_prepared_paragraph_count,2,base,22,1214637,2261349,1625,-18,-1
eager_prepared_paragraph_count,2,base,23,145811,2119807,3400,-10,-1
eager_prepared_paragraph_count,2,base,24,-29331,2073136,2322,-71,1
eager_prepared_paragraph_count,2,base,25,1411451,2281703,11191,490,0
eager_prepared_paragraph_count,3,base,1,711112,2154317,922,57,0
eager_prepared_paragraph_count,3,base,2,459681,2076208,25037,-296,-1
eager_prepared_paragraph_count,3,base,3,-1059577,2049128,-341,312,-1
eager_prepared_paragraph_count,3,base,4,14698,2200420,1996,-249,4
eager_prepared_paragraph_count,3,base,5,2435903,1782597,2026,296,1
eager_prepared_paragraph_count,3,base,6,830094,2230118,921,-63,-1
eager_prepared_paragraph_count,3,base,7,353011,2232205,711,-12,-2
eager_prepared_paragraph_count,3,base,8,1642789,2174176,6231,92,-3
eager_prepared_paragraph_count,3,base,9,-388156,2107204,1091,-17,1
eager_prepared_paragraph_count,3,base,10,112814,2152963,4802,110,-4
eager_prepared_paragraph_count,3,base,11,1092260,2171749,12808,173,2
eager_prepared_paragraph_count,3,base,12,275671,2381258,1509,100,0
eager_prepared_paragraph_count,3,base,13,147627,2169080,1853,-272,-3
eager_prepared_paragraph_count,3,base,14,376798,2121385,4330,-162,1
eager_prepared_paragraph_count,3,base,15,720336,2137895,5071,-183,1
eager_prepared_paragraph_count,3,base,16,803907,2247523,2549,355,0
eager_prepared_paragraph_count,3,base,17,709247,2209498,3462,-297,-1
eager_prepared_paragraph_count,3,base,18,536077,2179071,-2870,228,0
eager_prepared_paragraph_count,3,base,19,983706,2361857,-14678,-21,-2
eager_prepared_paragraph_count,3,base,20,293784,2149746,3278,-1,2
eager_prepared_paragraph_count,3,base,21,706773,2172121,18309,383,-2
eager_prepared_paragraph_count,3,base,22,587404,2124516,5186,90,-1
eager_prepared_paragraph_count,3,base,23,-10741,1984908,-2356,-155,0
eager_prepared_paragraph_count,3,base,24,591316,2363239,3609,141,2
eager_prepared_paragraph_count,3,base,25,237599,2103652,-782,102,0
eager_prepared_paragraph_count,4,rev0592,1,-462139,2105209,3917,250,1
eager_prepared_paragraph_count,4,rev0592,2,18148,1957857,-961,-262,0
eager_prepared_paragraph_count,4,rev0592,3,288911,2183585,2758,-475,-2
eager_prepared_paragraph_count,4,rev0592,4,1189386,2180846,-116,-72,0
eager_prepared_paragraph_count,4,rev0592,5,456229,2250585,1488,153,-1
eager_prepared_paragraph_count,4,rev0592,6,597231,2294258,-15974,69,-1
eager_prepared_paragraph_count,4,rev0592,7,-217352,2281363,-1085,16,1
eager_prepared_paragraph_count,4,rev0592,8,799656,2283428,-1175,178,-2
eager_prepared_paragraph_count,4,rev0592,9,672359,1997425,822,-80,-2
eager_prepared_paragraph_count,4,rev0592,10,-107029,2121548,1154,145,-1
