op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,base,1,18,79523188,96635917,79749,75258,16598
eager_prepared_paragraph_count,rev0592,0,19,77643271,96038366,77218,75147,16596
eager_prepared_paragraph_count,rev0592,1,19,78877679,98314073,79865,75193,16600
eager_prepared_paragraph_count,base,0,19,79169462,94615643,77246,75256,16597
eager_prepared_paragraph_count,base,1,19,79255737,96771484,79135,75210,16597
eager_prepared_paragraph_count,rev0592,0,20,78173351,96104210,79347,75656,16599
eager_prepared_paragraph_count,rev0592,1,20,79351128,98166882,78796,75173,16598
eager_prepared_paragraph_count,base,0,20,77267433,94655600,77692,75278,16597
eager_prepared_paragraph_count,base,1,20,77042457,96673938,78843,75195,16599
eager_prepared_paragraph_count,rev0592,0,21,77074501,96084783,81143,75262,16600
eager_prepared_paragraph_count,rev0592,1,21,76470452,98130609,80861,75093,16599
eager_prepared_paragraph_count,base,0,21,76078336,94663478,76680,75539,16600
eager_prepared_paragraph_count,base,1,21,77020318,96853721,80249,75503,16598
eager_prepared_paragraph_count,rev0592,0,22,76296280,96118796,92981,75305,16598
eager_prepared_paragraph_count,rev0592,1,22,74193518,98152413,81522,75143,16598
eager_prepared_paragraph_count,base,0,22,75368320,94786431,89585,75302,16598
eager_prepared_paragraph_count,base,1,22,77262933,96767549,95495,75251,16599
eager_prepared_paragraph_count,rev0592,0,23,78616166,96119615,96298,75287,16601
eager_prepared_paragraph_count,rev0592,1,23,81283508,98290942,80353,75089,16599
eager_prepared_paragraph_count,base,0,23,80197973,94646869,77794,75148,16599
eager_prepared_paragraph_count,base,1,23,80950934,96697453,79133,75357,16598
eager_prepared_paragraph_count,rev0592,0,24,79899854,96131223,78979,75202,16599
eager_prepared_paragraph_count,rev0592,1,24,79271022,98182913,80809,75384,16598
eager_prepared_paragraph_count,base,0,24,79005592,94564648,77957,75458,16599
eager_prepared_paragraph_count,base,1,24,77985123,96849555,80548,75224,16599
eager_prepared_paragraph_count,rev0592,0,25,79281689,96000261,80436,75131,16598
eager_prepared_paragraph_count,rev0592,1,25,80809659,98354212,81003,75775,16599
eager_prepared_paragraph_count,base,0,25,78326581,94701708,82142,75358,16599
eager_prepared_paragraph_count,base,1,25,78370620,96662135,80176,75451,16598
