fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx	docx_source_backed_document	ERR	Document(UnsafeEdit { format: "DOCX", operation: "edit_document", reason: "source-backed document transactions do not support markup-compatibility branch selection" })	unsafe DOCX edit 'edit_document' rejected: source-backed document transactions do not support markup-compatibility branch selection	ERR	Document(UnsafeEdit { format: "DOCX", operation: "edit_document", reason: "source-backed document transactions do not support markup-compatibility branch selection" })	unsafe DOCX edit 'edit_document' rejected: source-backed document transactions do not support markup-compatibility branch selection	ERR	Document(UnsafeEdit { format: "DOCX", operation: "edit_document", reason: "source-backed document transactions do not support markup-compatibility branch selection" })	unsafe DOCX edit 'edit_document' rejected: source-backed document transactions do not support markup-compatibility branch selection	0	0
test-data/libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx	docx_source_backed_section_layout	ERR	UnsafeEdit { format: "DOCX", operation: "source-backed section inventory", reason: "markup-compatibility namespace bindings are not accepted in a source-bound inventory" }	unsafe DOCX edit 'source-backed section inventory' rejected: markup-compatibility namespace bindings are not accepted in a source-bound inventory	ERR	UnsafeEdit { format: "DOCX", operation: "source-backed section inventory", reason: "markup-compatibility namespace bindings are not accepted in a source-bound inventory" }	unsafe DOCX edit 'source-backed section inventory' rejected: markup-compatibility namespace bindings are not accepted in a source-bound inventory	ERR	UnsafeEdit { format: "DOCX", operation: "source-backed section inventory", reason: "markup-compatibility namespace bindings are not accepted in a source-bound inventory" }	unsafe DOCX edit 'source-backed section inventory' rejected: markup-compatibility namespace bindings are not accepted in a source-bound inventory	0	0
test-data/libreoffice-core/oox/qa/unit/data/import-mce.pptx	pptx_edit_save	OK	33718	38	OK	33718	38	OK	33718	38	0	0
test-data/libreoffice-core/oox/qa/unit/data/import-mce.pptx	pptx_guides_publish	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	0	0
test-data/libreoffice-core/oox/qa/unit/data/import-mce.pptx	pptx_noop_save	OK	33763	38	OK	33763	38	OK	33763	38	0	0
test-data/libreoffice-core/oox/qa/unit/data/import-mce.pptx	pptx_source_backed_slide	ERR	UnsafeEdit { operation: "edit_slide", reason: "source-backed slide edits do not support markup-compatibility branch selection" }	unsafe PPTX edit during edit_slide: source-backed slide edits do not support markup-compatibility branch selection	ERR	UnsafeEdit { operation: "edit_slide", reason: "source-backed slide edits do not support markup-compatibility branch selection" }	unsafe PPTX edit during edit_slide: source-backed slide edits do not support markup-compatibility branch selection	ERR	UnsafeEdit { operation: "edit_slide", reason: "source-backed slide edits do not support markup-compatibility branch selection" }	unsafe PPTX edit during edit_slide: source-backed slide edits do not support markup-compatibility branch selection	0	0
test-data/libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx	pptx_edit_save	OK	30844	39	OK	30844	39	OK	30844	39	0	0
test-data/libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx	pptx_guides_publish	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	0	0
test-data/libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx	pptx_noop_save	OK	30844	39	OK	30844	39	OK	30844	39	0	0
test-data/libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx	pptx_source_backed_slide	OK	30844	39	OK	30844	39	OK	30844	39	0	0
