1,075,717,136 (100.0%)  PROGRAM TOTALS
   12,560,532 ( 1.17%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/mod.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<&mut alloc::vec::Vec<u8>> [/home/zhuhe/code/litchi-worktrees/targets/0597-probe-after/release/probe0597]
      .               /// assert_eq!(simple.prefix(), None);
      .               /// let qname = QName(b"prefix:simple-name");
      .               /// assert_eq!(qname.prefix().as_ref().map(|n| n.as_ref()), Some(b"prefix".as_ref()));
 83,976 ( 0.01%)      pub fn prefix(&self) -> Option<Prefix<'a>> {
      .               /// The same as `(qname.local_name(), qname.prefix())`, but does only one
      .               /// Returns the index in the name where prefix ended
      .               /// Get the namespace prefix, bound to this namespace declaration, or `None`,
      .               const fn prefix<'b>(&self, buffer: &'b [u8]) -> Option<Prefix<'b>> {
  2,112 ( 0.00%)          if self.prefix_len == 0 {
