% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.60    0.003242           1      3205           write
  1.43    0.000049           0        94         3 statx
  1.20    0.000041           1        28           openat
  0.73    0.000025           8         3           fdatasync
  0.70    0.000024           0        79           read
  0.41    0.000014           0        24           pread64
  0.32    0.000011           0        27           close
  0.26    0.000009           3         3           unlink
  0.23    0.000008           4         2           lseek
  0.12    0.000004           0         9           fstat
------ ----------- ----------- --------- --------- ----------------
100.00    0.003427           0      3474         3 total
