% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 90.13    0.002384         183        13           read
  4.91    0.000130          43         3           write
  2.80    0.000074           1        38        13 openat
  0.91    0.000024           0        25           close
  0.72    0.000019           0        21           fstat
  0.26    0.000007           3         2           lseek
  0.15    0.000004           1         4           statx
  0.08    0.000002           0         4           pread64
  0.04    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002645          23       111        13 total
