% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.72    0.003869           0      3934           pread64
 36.28    0.003721           0      3898           statx
 22.83    0.002342         180        13           read
  1.56    0.000160          53         3           write
  0.95    0.000097           2        44        13 openat
  0.33    0.000034           1        31           close
  0.24    0.000025           1        21           fstat
  0.08    0.000008           4         2           lseek
  0.01    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.010257           1      7947        13 total
