% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.70    0.002017         155        13           read
  0.10    0.000002           0        25           close
  0.10    0.000002           0        38        13 openat
  0.10    0.000002           0         4           statx
  0.00    0.000000           0         3           write
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002023          18       111        13 total
