% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.45    0.002363         181        13           read
  3.76    0.000096           2        38        13 openat
  1.17    0.000030           1        21           fstat
  1.02    0.000026           1        25           close
  0.98    0.000025           8         3           write
  0.27    0.000007           3         2           lseek
  0.23    0.000006           1         4           pread64
  0.12    0.000003           0         4           statx
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002556          23       111        13 total
