% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 87.08    0.002203         169        13           read
  6.92    0.000175          58         3           write
  3.64    0.000092           2        38        13 openat
  0.95    0.000024           0        25           close
  0.83    0.000021           1        21           fstat
  0.28    0.000007           3         2           lseek
  0.20    0.000005           1         4           statx
  0.08    0.000002           0         4           pread64
  0.04    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002530          22       111        13 total
