% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.95    0.002625           0      3934           pread64
 35.06    0.002491           0      3898           statx
 27.79    0.001974         151        13           read
  0.14    0.000010           0        44        13 openat
  0.06    0.000004           0        31           close
  0.00    0.000000           0         3           write
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.007104           0      7947        13 total
