% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 40.50    0.004437           0      5530           pread64
 39.39    0.004315           0      5584           statx
 19.90    0.002180         167        13           read
  0.11    0.000012           0        44        13 openat
  0.10    0.000011           0        31           close
  0.00    0.000000           0         3           write
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.010955           0     11229        13 total
