% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.58    0.003027           0      3934           pread64
 34.65    0.002948           0      3898           statx
 28.35    0.002412         185        13           read
  0.86    0.000073          24         3           write
  0.27    0.000023           0        44        13 openat
  0.16    0.000014           0        31           close
  0.09    0.000008           4         2           lseek
  0.02    0.000002           0        21           fstat
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.008507           1      7947        13 total
