# perf record -F 999 -g, taskset -c 17, stage: apply (20 complete edits)
# self-cycle shares; 4,896 samples

# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu/cycles/P'
# Event count (approx.): 20598927851
#
# Overhead  Command         Shared Object     Symbol                                                                                                                                                                                           
# ........  ..............  ................  .................................................................................................................................................................................................
#
    38.25%  probe0649-base  probe0649-base    [.] <litchi_ooxml_common::mce::codec::BoundedOutput>::extend_from_slice
    18.38%  probe0649-base  libc.so.6         [.] __memmove_avx512_unaligned_erms
    14.34%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::mce::codec::esc
     4.12%  probe0649-base  probe0649-base    [.] <quick_xml::events::attributes::IterState>::next
     2.61%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::mce::codec::start
     2.33%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::mce::codec::write_start
     1.80%  probe0649-base  libc.so.6         [.] __memcmp_evex_movbe
     1.65%  probe0649-base  probe0649-base    [.] <litchi_ooxml_common::mce::codec::BoundedOutput>::push
     1.61%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::mce::codec::close
     0.96%  probe0649-base  probe0649-base    [.] memchr::arch::x86_64::memchr::memchr3_raw::find_avx2
     0.94%  probe0649-base  probe0649-base    [.] <quick_xml::events::attributes::IterState>::check_for_duplicates
     0.92%  probe0649-base  probe0649-base    [.] <memchr::arch::x86_64::avx2::memchr::Three>::find_raw_avx2
     0.72%  probe0649-base  probe0649-base    [.] sha2::sha256::x86_sha::compress
     0.67%  probe0649-base  probe0649-base    [.] <quick_xml::events::attributes::Attribute>::decoded_and_normalized_value_with::<quick_xml::escape::resolve_predefined_entity>
     0.59%  probe0649-base  probe0649-base    [.] <quick_xml::reader::state::ReaderState>::emit_start
     0.51%  probe0649-base  probe0649-base    [.] core::ptr::drop_glue::<litchi_ooxml_common::mce::codec::Ctx>
     0.49%  probe0649-base  probe0649-base    [.] <&[u8] as quick_xml::reader::XmlSource<&mut alloc::vec::Vec<u8>>>::read_with::<quick_xml::parser::element::ElementParser>
     0.45%  probe0649-base  probe0649-base    [.] <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
     0.43%  probe0649-base  probe0649-base    [.] core::str::converts::from_utf8
     0.43%  probe0649-base  [unknown]         [k] 0xffffffff9e800ef0
     0.43%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::xml_name::validation::is_ncname
     0.43%  probe0649-base  probe0649-base    [.] <&[u8] as quick_xml::reader::XmlSource<&mut alloc::vec::Vec<u8>>>::read_with::<quick_xml::parser::element::ElementParser>
     0.41%  probe0649-base  libc.so.6         [.] malloc
     0.37%  probe0649-base  probe0649-base    [.] litchi_pptx::notes::codec::scan_xml
     0.37%  probe0649-base  probe0649-base    [.] litchi_ooxml_common::xml_name::validation::is_name_character
     0.37%  probe0649-base  probe0649-base    [.] <quick_xml::reader::ns_reader::NsReader<&[u8]>>::process_event
     0.35%  probe0649-base  probe0649-base    [.] <quick_xml::events::attributes::Attributes as core::iter::traits::iterator::Iterator>::next
     0.35%  probe0649-base  libc.so.6         [.] _int_malloc
     0.33%  probe0649-base  libc.so.6         [.] cfree@GLIBC_2.2.5
