# fixture archive_bytes parts inflated_bytes xml_parts xml_bytes largest_part_bytes
test-data/poi/test-data/spreadsheet/60289.xlsx 8570 7 15907 6 10599 6995
test-data/poi/test-data/spreadsheet/61060-conditional-number-formatting.xlsx 8224 6 15138 6 15138 8390
test-data/poi/test-data/spreadsheet/62815.xlsb 10665 8 39136 3 9026 22667
test-data/poi/test-data/spreadsheet/62834.xlsx 9629 9 15277 9 15277 6801
test-data/poi/test-data/spreadsheet/66365.xlsx 4753 6 7961 6 7961 3757
test-data/poi/test-data/spreadsheet/AmpersandHeader.xlsx 9480 9 15334 9 15334 7079
test-data/poi/test-data/spreadsheet/ConditionalFormattingSamples.xlsx 654688 90 1020366 74 497105 59242
test-data/poi/test-data/spreadsheet/CustomXMLMappings.xlsx 9906 11 15341 11 15341 6997
test-data/poi/test-data/spreadsheet/DataValidationEvaluations.xlsx 13679 12 31760 12 31760 10392
test-data/poi/test-data/spreadsheet/DataValidationListTooLong.xlsx 3286 6 2678 6 2678 862
test-data/poi/test-data/spreadsheet/DataValidations-49244.xlsx 10705 8 27903 8 27903 15597
test-data/poi/test-data/spreadsheet/ExcelPivotTableSample.xlsx 19460 17 29482 17 29482 6784
test-data/poi/test-data/spreadsheet/Excel_file_with_trash_item.xlsx 47318 15 243154 15 243154 209931
test-data/poi/test-data/spreadsheet/FormatKM.xlsx 11590 11 25764 11 25764 8024
test-data/poi/test-data/spreadsheet/StructuredRefs-lots-with-lookups.xlsx 325446 25 2684014 25 2684014 1558391
test-data/poi/test-data/spreadsheet/TestShiftRowSharedFormula.xlsx 8527 8 12804 8 12804 6798
test-data/poi/test-data/spreadsheet/WithChartSheet.xlsx 30333 26 56306 26 56306 6995
test-data/poi/test-data/spreadsheet/WithEmbeded.xlsx 23668 15 66120 12 19252 32768
test-data/poi/test-data/spreadsheet/WithTextBox.xlsb 10076 12 14197 4 12207 8733
test-data/poi/test-data/spreadsheet/bug64512_embed.xlsx 49746 12 85068 11 58428 26640
test-data/poi/test-data/spreadsheet/chart_sheet.xlsx 10795 12 15388 12 15388 6995
test-data/poi/test-data/spreadsheet/customIndexedColors.xlsx 19534 14 71362 14 71362 51200
test-data/poi/test-data/spreadsheet/dataValidationTableRange.xlsx 116554 35 667788 35 667788 387968
test-data/poi/test-data/spreadsheet/headerFooterTest.xlsx 27484 8 31794 7 12658 19136
test-data/poi/test-data/spreadsheet/link-external-workbook-b.xlsx 4080 7 2567 7 2567 674
test-data/poi/test-data/spreadsheet/no_drawing_patriarch.xlsx 672414 8 6840298 8 6840298 3440972
test-data/poi/test-data/spreadsheet/right-to-left.xlsx 14478 15 21773 15 21773 8390
test-data/poi/test-data/spreadsheet/sample.xlsx 12348 13 23094 13 23094 6995
test-data/poi/test-data/spreadsheet/shared_formulas.xlsx 10137 9 22061 9 22061 6995
test-data/poi/test-data/spreadsheet/style-alternate-content.xlsx 10103 7 49209 7 49209 30311
test-data/poi/test-data/spreadsheet/testSharedFormulasRangeSetBlankBug.xlsx 12428 8 35151 8 35151 14546
test-data/poi/test-data/spreadsheet/testSharedFormulasSetBlank.xlsx 8889 9 13708 9 13708 7079
test-data/poi/test-data/spreadsheet/testVarious.xlsb 22715 17 68288 9 47992 13312
test-data/poi/test-data/spreadsheet/workbookProtection-sheet_password-2013.xlsx 9196 8 13566 8 13566 6798
test-data/poi/test-data/spreadsheet/workbookProtection-workbook_password-2013.xlsx 8171 7 12058 7 12058 6798
test-data/poi/test-data/spreadsheet/workbookProtection_workbook_revision_protected.xlsx 12468 13 14312 13 14312 6995
test-data/poi/test-data/spreadsheet/xlookup.xlsx 12031 11 22297 11 22297 8390
test-data/poi/test-data/spreadsheet/xxe_in_schema.xlsx 9801 10 14500 10 14500 6798
test-data/poi/test-data/xmldsign/hello-world-signed-twice.docx 16099 11 41427 11 41427 14840
test-data/poi/test-data/xmldsign/hello-world-signed.docx 13244 10 34299 10 34299 14840
test-data/poi/test-data/xmldsign/hello-world-signed.pptx 36107 23 89247 22 85151 16995
test-data/poi/test-data/xmldsign/hello-world-signed.xlsx 13072 12 24372 11 18970 7403
test-data/poi/test-data/xmldsign/ms-office-2010-signed.docx 16142 11 52703 11 52703 15710
test-data/poi/test-data/xmldsign/ms-office-2010-signed.pptx 38874 23 94172 22 89052 18149
test-data/poi/test-data/xmldsign/ms-office-2010-signed.xlsx 12180 11 20633 11 20633 7953
