# fixture archive_bytes parts inflated_bytes xml_parts xml_bytes largest_part_bytes
test-data/ooxml/docx/documentProtection_comments_no_password.docx 9868 8 27073 8 27073 14840
test-data/ooxml/docx/documentProtection_forms_no_password.docx 9924 8 27180 8 27180 14840
test-data/ooxml/docx/documentProtection_no_protection.docx 9884 8 27108 8 27108 14840
test-data/ooxml/docx/documentProtection_readonly_no_password.docx 9856 8 27021 8 27021 14840
test-data/ooxml/docx/drawing.docx 95247 19 382464 9 358436 288070
test-data/ooxml/docx/endnotes.docx 13553 12 35597 12 35597 15685
test-data/ooxml/docx/footnotes.docx 12823 12 31717 12 31717 15670
test-data/ooxml/docx/headerFooter.docx 28423 15 49919 14 34987 15790
test-data/ooxml/docx/headerPic.docx 16206 12 38073 11 35885 16454
test-data/ooxml/docx/table-alignment.docx 15519 9 111748 9 111748 45731
test-data/ooxml/docx/table-indent.docx 7639 7 81548 7 81548 71991
test-data/ooxml/docx/table_footnotes.docx 13177 12 33895 12 33895 16633
test-data/ooxml/docx/testComment.docx 65298 13 111088 12 62364 48724
test-data/ooxml/pptx/SmartArt.pptx 41382 26 150094 25 146379 20749
test-data/ooxml/pptx/activex/activex_checkbox.pptx 39828 31 101567 24 88585 13924
test-data/ooxml/pptx/backgrounds.pptx 63442 29 112791 23 84054 12288
test-data/ooxml/pptx/connectorConnection.pptx 33296 21 87806 20 85568 13874
test-data/ooxml/pptx/curvedConnectors.pptx 35029 21 91853 20 88291 13874
test-data/ooxml/pptx/elbowConnectors.pptx 34608 21 91364 20 88212 13874
test-data/ooxml/pptx/line-chart.pptx 44700 23 89732 22 82930 12265
test-data/ooxml/pptx/pie-chart.pptx 55297 23 96599 22 80215 16384
test-data/ooxml/pptx/radar-chart.pptx 43689 23 88655 22 82847 12265
test-data/ooxml/pptx/sample.pptx 47215 22 99861 21 83477 16384
test-data/ooxml/pptx/scatter-chart.pptx 44269 23 89220 22 82813 12265
test-data/ooxml/pptx/shape-blur-effect.pptx 33285 21 85994 20 83870 13874
test-data/ooxml/pptx/shape-glow-effect.pptx 13691 11 26867 10 24817 8666
test-data/ooxml/pptx/shape-soft-edges.pptx 50092 39 182021 39 182021 16807
test-data/ooxml/pptx/shape-text-glow-effect.pptx 34693 21 87030 20 83871 13852
test-data/ooxml/pptx/shape-text-rotate.pptx 33784 22 86135 21 84289 13905
test-data/ooxml/pptx/shapes.pptx 68822 27 140137 25 111765 20740
test-data/ooxml/pptx/smartart-accent-process.pptx 46326 26 143401 25 134185 20749
test-data/ooxml/pptx/smartart-autoTxRot.pptx 58937 35 301561 34 296181 30533
test-data/ooxml/pptx/smartart-autofit-sync.pptx 41814 26 174720 25 170524 39120
test-data/ooxml/pptx/smartart-background-drawingml-fallback.pptx 40964 26 136154 25 128813 20749
test-data/ooxml/pptx/smartart-background.pptx 50424 25 136769 24 120385 20749
test-data/ooxml/pptx/smartart-bullet-list.pptx 40468 25 122636 24 115468 20749
test-data/ooxml/pptx/smartart-center-cycle.pptx 44405 25 131634 24 121394 20749
test-data/ooxml/pptx/smartart-chevron.pptx 34076 24 123393 24 123393 20749
test-data/ooxml/pptx/smartart-children.pptx 53014 25 159776 24 143392 20749
test-data/ooxml/pptx/smartart-cnt.pptx 47360 25 185814 24 176598 59377
test-data/ooxml/pptx/smartart-composite-infer-right.pptx 23250 16 101296 15 97685 29851
