fixture parts total_bytes largest_bytes remainder_bytes
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx 7 15346 8399 6947
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx 7 15708 8399 7309
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx 1 1139 1139 0
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx 13 30342 9791 20551
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx 9 12060 7004 5056
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx 6 13680 6805 6875
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx 8 23620 8614 15006
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx 17 19710 7088 12622
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/BoldonseFontEmbedded.pptx 20 84665 13942 70723
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/ole.pptx 20 69866 12799 57067
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx 58 765361 121410 643951
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/slide-sections.pptx 33 658029 105219 552810
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf103477.pptx 31 166775 40236 126539
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf114821.pptx 24 105758 13914 91844
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf89064.pptx 23 48657 4451 44206
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx 14 68592 30598 37994
