# kind fixture detail eager lazy verdict
open ooxml/docx/FancyFoot.docx - ok ok MATCH
parts ooxml/docx/FancyFoot.docx - 13 13 MATCH
opc-noop ooxml/docx/FancyFoot.docx - 1cfd2b4fb1f7233062671b0f58789e1b0b437fbf79deb7d62167cffb85191f7a:12876 1cfd2b4fb1f7233062671b0f58789e1b0b437fbf79deb7d62167cffb85191f7a:12876 MATCH
opc-reblob ooxml/docx/FancyFoot.docx - 1cfd2b4fb1f7233062671b0f58789e1b0b437fbf79deb7d62167cffb85191f7a:12876 1cfd2b4fb1f7233062671b0f58789e1b0b437fbf79deb7d62167cffb85191f7a:12876 MATCH
open ooxml/docx/Headers.docx - ok ok MATCH
parts ooxml/docx/Headers.docx - 15 15 MATCH
opc-noop ooxml/docx/Headers.docx - bdf91038f9a5454355e6393b7b74fd819a4adc480b4a7011a86e878403952b5b:13076 bdf91038f9a5454355e6393b7b74fd819a4adc480b4a7011a86e878403952b5b:13076 MATCH
opc-reblob ooxml/docx/Headers.docx - bdf91038f9a5454355e6393b7b74fd819a4adc480b4a7011a86e878403952b5b:13076 bdf91038f9a5454355e6393b7b74fd819a4adc480b4a7011a86e878403952b5b:13076 MATCH
open ooxml/docx/Hyperlink.docx - ok ok MATCH
parts ooxml/docx/Hyperlink.docx - 10 10 MATCH
opc-noop ooxml/docx/Hyperlink.docx - ebd1f0ae1a9d6ef35c4b301209b135a0bd2f8dfde9c44270bbbea1cd19b3fd66:11478 ebd1f0ae1a9d6ef35c4b301209b135a0bd2f8dfde9c44270bbbea1cd19b3fd66:11478 MATCH
opc-reblob ooxml/docx/Hyperlink.docx - ebd1f0ae1a9d6ef35c4b301209b135a0bd2f8dfde9c44270bbbea1cd19b3fd66:11478 ebd1f0ae1a9d6ef35c4b301209b135a0bd2f8dfde9c44270bbbea1cd19b3fd66:11478 MATCH
open ooxml/docx/comment.docx - ok ok MATCH
parts ooxml/docx/comment.docx - 9 9 MATCH
opc-noop ooxml/docx/comment.docx - 23bbfe33e1acf7073253bd87552cbee5be0a07cbd08a479a4bf139f09b1dd6dc:4926 23bbfe33e1acf7073253bd87552cbee5be0a07cbd08a479a4bf139f09b1dd6dc:4926 MATCH
opc-reblob ooxml/docx/comment.docx - 23bbfe33e1acf7073253bd87552cbee5be0a07cbd08a479a4bf139f09b1dd6dc:4926 23bbfe33e1acf7073253bd87552cbee5be0a07cbd08a479a4bf139f09b1dd6dc:4926 MATCH
open ooxml/docx/documentProperties.docx - ok ok MATCH
parts ooxml/docx/documentProperties.docx - 11 11 MATCH
opc-noop ooxml/docx/documentProperties.docx - 1cff7a0a94dfce307a70032d21070d26ae34b9fdf742cf70fa66d4a2078ec9d5:23503 1cff7a0a94dfce307a70032d21070d26ae34b9fdf742cf70fa66d4a2078ec9d5:23503 MATCH
opc-reblob ooxml/docx/documentProperties.docx - 1cff7a0a94dfce307a70032d21070d26ae34b9fdf742cf70fa66d4a2078ec9d5:23503 1cff7a0a94dfce307a70032d21070d26ae34b9fdf742cf70fa66d4a2078ec9d5:23503 MATCH
open ooxml/docx/documentProtection_comments_no_password.docx - ok ok MATCH
parts ooxml/docx/documentProtection_comments_no_password.docx - 10 10 MATCH
opc-noop ooxml/docx/documentProtection_comments_no_password.docx - d15cd04edecf3489c2028864e70736494a1c5259b6e92097e50457efd934d78c:9868 d15cd04edecf3489c2028864e70736494a1c5259b6e92097e50457efd934d78c:9868 MATCH
opc-reblob ooxml/docx/documentProtection_comments_no_password.docx - d15cd04edecf3489c2028864e70736494a1c5259b6e92097e50457efd934d78c:9868 d15cd04edecf3489c2028864e70736494a1c5259b6e92097e50457efd934d78c:9868 MATCH
open ooxml/docx/documentProtection_forms_no_password.docx - ok ok MATCH
parts ooxml/docx/documentProtection_forms_no_password.docx - 10 10 MATCH
opc-noop ooxml/docx/documentProtection_forms_no_password.docx - 5c299d134577cb3a752548e6891701d2b3447570bd2bb0b38bf16efc026ee0a2:9924 5c299d134577cb3a752548e6891701d2b3447570bd2bb0b38bf16efc026ee0a2:9924 MATCH
opc-reblob ooxml/docx/documentProtection_forms_no_password.docx - 5c299d134577cb3a752548e6891701d2b3447570bd2bb0b38bf16efc026ee0a2:9924 5c299d134577cb3a752548e6891701d2b3447570bd2bb0b38bf16efc026ee0a2:9924 MATCH
open ooxml/docx/documentProtection_no_protection.docx - ok ok MATCH
parts ooxml/docx/documentProtection_no_protection.docx - 10 10 MATCH
opc-noop ooxml/docx/documentProtection_no_protection.docx - 5d1cce05b576fc527981c56dd9844df3b6669967bcd9b981adfc043bd516f62c:9884 5d1cce05b576fc527981c56dd9844df3b6669967bcd9b981adfc043bd516f62c:9884 MATCH
opc-reblob ooxml/docx/documentProtection_no_protection.docx - 5d1cce05b576fc527981c56dd9844df3b6669967bcd9b981adfc043bd516f62c:9884 5d1cce05b576fc527981c56dd9844df3b6669967bcd9b981adfc043bd516f62c:9884 MATCH
open ooxml/docx/documentProtection_readonly_no_password.docx - ok ok MATCH
parts ooxml/docx/documentProtection_readonly_no_password.docx - 10 10 MATCH
opc-noop ooxml/docx/documentProtection_readonly_no_password.docx - 5d4c919f2e06b84fbe35cfaaa4012e8f469b811e1f643deb3e660b798bfe4544:9856 5d4c919f2e06b84fbe35cfaaa4012e8f469b811e1f643deb3e660b798bfe4544:9856 MATCH
opc-reblob ooxml/docx/documentProtection_readonly_no_password.docx - 5d4c919f2e06b84fbe35cfaaa4012e8f469b811e1f643deb3e660b798bfe4544:9856 5d4c919f2e06b84fbe35cfaaa4012e8f469b811e1f643deb3e660b798bfe4544:9856 MATCH
open ooxml/docx/drawing.docx - ok ok MATCH
parts ooxml/docx/drawing.docx - 21 21 MATCH
opc-noop ooxml/docx/drawing.docx - 5e83462dd7ac3cf0a333fe09cf0837602dbd41775cdcec813a6e288b5d55dff8:95247 5e83462dd7ac3cf0a333fe09cf0837602dbd41775cdcec813a6e288b5d55dff8:95247 MATCH
opc-reblob ooxml/docx/drawing.docx - 5e83462dd7ac3cf0a333fe09cf0837602dbd41775cdcec813a6e288b5d55dff8:95247 5e83462dd7ac3cf0a333fe09cf0837602dbd41775cdcec813a6e288b5d55dff8:95247 MATCH
open ooxml/docx/endnotes.docx - ok ok MATCH
parts ooxml/docx/endnotes.docx - 14 14 MATCH
opc-noop ooxml/docx/endnotes.docx - 6e2e1b2dabb0ae6b9b26ddd613dca446ba0710ecc8b4008722abc4ed592934e3:13553 6e2e1b2dabb0ae6b9b26ddd613dca446ba0710ecc8b4008722abc4ed592934e3:13553 MATCH
opc-reblob ooxml/docx/endnotes.docx - 6e2e1b2dabb0ae6b9b26ddd613dca446ba0710ecc8b4008722abc4ed592934e3:13553 6e2e1b2dabb0ae6b9b26ddd613dca446ba0710ecc8b4008722abc4ed592934e3:13553 MATCH
open ooxml/docx/footnotes.docx - ok ok MATCH
parts ooxml/docx/footnotes.docx - 14 14 MATCH
opc-noop ooxml/docx/footnotes.docx - 9070094b27ff5201477f4de4b2c027730c66cb889106a1609c5adeed207a59c1:12823 9070094b27ff5201477f4de4b2c027730c66cb889106a1609c5adeed207a59c1:12823 MATCH
opc-reblob ooxml/docx/footnotes.docx - 9070094b27ff5201477f4de4b2c027730c66cb889106a1609c5adeed207a59c1:12823 9070094b27ff5201477f4de4b2c027730c66cb889106a1609c5adeed207a59c1:12823 MATCH
open ooxml/docx/headerFooter.docx - ok ok MATCH
parts ooxml/docx/headerFooter.docx - 17 17 MATCH
opc-noop ooxml/docx/headerFooter.docx - 0ad90c6ee8ec8b9fab1ae8219387eca8d934b739580918d76a1b6c911bc41913:28423 0ad90c6ee8ec8b9fab1ae8219387eca8d934b739580918d76a1b6c911bc41913:28423 MATCH
opc-reblob ooxml/docx/headerFooter.docx - 0ad90c6ee8ec8b9fab1ae8219387eca8d934b739580918d76a1b6c911bc41913:28423 0ad90c6ee8ec8b9fab1ae8219387eca8d934b739580918d76a1b6c911bc41913:28423 MATCH
open ooxml/docx/headerPic.docx - ok ok MATCH
parts ooxml/docx/headerPic.docx - 14 14 MATCH
opc-noop ooxml/docx/headerPic.docx - 50d9b17f7575c8a91129fd8a3e6a70feec886480ab9f089e29a7f8ac7e5ed51a:16206 50d9b17f7575c8a91129fd8a3e6a70feec886480ab9f089e29a7f8ac7e5ed51a:16206 MATCH
opc-reblob ooxml/docx/headerPic.docx - 50d9b17f7575c8a91129fd8a3e6a70feec886480ab9f089e29a7f8ac7e5ed51a:16206 50d9b17f7575c8a91129fd8a3e6a70feec886480ab9f089e29a7f8ac7e5ed51a:16206 MATCH
open ooxml/docx/table-alignment.docx - ok ok MATCH
parts ooxml/docx/table-alignment.docx - 11 11 MATCH
opc-noop ooxml/docx/table-alignment.docx - ee36729e0d050e529fea0b444006a194bea72b35cf8958ae58c6624c26156b41:15519 ee36729e0d050e529fea0b444006a194bea72b35cf8958ae58c6624c26156b41:15519 MATCH
opc-reblob ooxml/docx/table-alignment.docx - ee36729e0d050e529fea0b444006a194bea72b35cf8958ae58c6624c26156b41:15519 ee36729e0d050e529fea0b444006a194bea72b35cf8958ae58c6624c26156b41:15519 MATCH
open ooxml/docx/table-indent.docx - ok ok MATCH
parts ooxml/docx/table-indent.docx - 9 9 MATCH
opc-noop ooxml/docx/table-indent.docx - aaa3fd6a1c0d6ac222ccacad213257b9061be7d706396a36b3ffedacb3a56c9b:7639 aaa3fd6a1c0d6ac222ccacad213257b9061be7d706396a36b3ffedacb3a56c9b:7639 MATCH
opc-reblob ooxml/docx/table-indent.docx - aaa3fd6a1c0d6ac222ccacad213257b9061be7d706396a36b3ffedacb3a56c9b:7639 aaa3fd6a1c0d6ac222ccacad213257b9061be7d706396a36b3ffedacb3a56c9b:7639 MATCH
open ooxml/docx/table_footnotes.docx - ok ok MATCH
parts ooxml/docx/table_footnotes.docx - 14 14 MATCH
opc-noop ooxml/docx/table_footnotes.docx - 69666500a7dd00600da64cc7676f8939c84df8804967ec2fc75567fad41f21a9:13177 69666500a7dd00600da64cc7676f8939c84df8804967ec2fc75567fad41f21a9:13177 MATCH
opc-reblob ooxml/docx/table_footnotes.docx - 69666500a7dd00600da64cc7676f8939c84df8804967ec2fc75567fad41f21a9:13177 69666500a7dd00600da64cc7676f8939c84df8804967ec2fc75567fad41f21a9:13177 MATCH
open ooxml/docx/testComment.docx - ok ok MATCH
parts ooxml/docx/testComment.docx - 15 15 MATCH
opc-noop ooxml/docx/testComment.docx - 06b63b13f0b78a7179151af52c2282557c1ed204899feee9fcef4ca575344f97:65298 06b63b13f0b78a7179151af52c2282557c1ed204899feee9fcef4ca575344f97:65298 MATCH
opc-reblob ooxml/docx/testComment.docx - 06b63b13f0b78a7179151af52c2282557c1ed204899feee9fcef4ca575344f97:65298 06b63b13f0b78a7179151af52c2282557c1ed204899feee9fcef4ca575344f97:65298 MATCH
open ooxml/pptx/SmartArt.pptx - ok ok MATCH
parts ooxml/pptx/SmartArt.pptx - 28 28 MATCH
opc-noop ooxml/pptx/SmartArt.pptx - b97e4c6d2ee1dd4094f50f9043820610268dd452d7717c537f5456636adcc353:41382 b97e4c6d2ee1dd4094f50f9043820610268dd452d7717c537f5456636adcc353:41382 MATCH
opc-reblob ooxml/pptx/SmartArt.pptx - b97e4c6d2ee1dd4094f50f9043820610268dd452d7717c537f5456636adcc353:41382 b97e4c6d2ee1dd4094f50f9043820610268dd452d7717c537f5456636adcc353:41382 MATCH
open ooxml/pptx/activex/activex_checkbox.pptx - ok ok MATCH
parts ooxml/pptx/activex/activex_checkbox.pptx - 33 33 MATCH
opc-noop ooxml/pptx/activex/activex_checkbox.pptx - 9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888:39828 9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888:39828 MATCH
opc-reblob ooxml/pptx/activex/activex_checkbox.pptx - 9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888:39828 9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888:39828 MATCH
open ooxml/pptx/backgrounds.pptx - ok ok MATCH
parts ooxml/pptx/backgrounds.pptx - 31 31 MATCH
opc-noop ooxml/pptx/backgrounds.pptx - 6d1e661c87b072a701e02e28f9d2c9bb43c6bfe0ad5acd02811a0382bab769b7:63442 6d1e661c87b072a701e02e28f9d2c9bb43c6bfe0ad5acd02811a0382bab769b7:63442 MATCH
opc-reblob ooxml/pptx/backgrounds.pptx - 6d1e661c87b072a701e02e28f9d2c9bb43c6bfe0ad5acd02811a0382bab769b7:63442 6d1e661c87b072a701e02e28f9d2c9bb43c6bfe0ad5acd02811a0382bab769b7:63442 MATCH
open ooxml/pptx/connectorConnection.pptx - ok ok MATCH
parts ooxml/pptx/connectorConnection.pptx - 23 23 MATCH
opc-noop ooxml/pptx/connectorConnection.pptx - 7b23e2b57151e6ccfae69183636a63c3ba06061b33c0f83cf5b02cc9ef014e04:33296 7b23e2b57151e6ccfae69183636a63c3ba06061b33c0f83cf5b02cc9ef014e04:33296 MATCH
opc-reblob ooxml/pptx/connectorConnection.pptx - 7b23e2b57151e6ccfae69183636a63c3ba06061b33c0f83cf5b02cc9ef014e04:33296 7b23e2b57151e6ccfae69183636a63c3ba06061b33c0f83cf5b02cc9ef014e04:33296 MATCH
open ooxml/pptx/curvedConnectors.pptx - ok ok MATCH
parts ooxml/pptx/curvedConnectors.pptx - 23 23 MATCH
opc-noop ooxml/pptx/curvedConnectors.pptx - 4e1b04e07b7b8b087f6567cb9af70019c7b326fe592c030c44d3b1e60fff8f69:35029 4e1b04e07b7b8b087f6567cb9af70019c7b326fe592c030c44d3b1e60fff8f69:35029 MATCH
opc-reblob ooxml/pptx/curvedConnectors.pptx - 4e1b04e07b7b8b087f6567cb9af70019c7b326fe592c030c44d3b1e60fff8f69:35029 4e1b04e07b7b8b087f6567cb9af70019c7b326fe592c030c44d3b1e60fff8f69:35029 MATCH
open ooxml/pptx/elbowConnectors.pptx - ok ok MATCH
parts ooxml/pptx/elbowConnectors.pptx - 23 23 MATCH
opc-noop ooxml/pptx/elbowConnectors.pptx - d0deaafba2c213e904e589cb1ed35ce110e4160f3e4eee346db43461d902b123:34608 d0deaafba2c213e904e589cb1ed35ce110e4160f3e4eee346db43461d902b123:34608 MATCH
opc-reblob ooxml/pptx/elbowConnectors.pptx - d0deaafba2c213e904e589cb1ed35ce110e4160f3e4eee346db43461d902b123:34608 d0deaafba2c213e904e589cb1ed35ce110e4160f3e4eee346db43461d902b123:34608 MATCH
open ooxml/pptx/line-chart.pptx - ok ok MATCH
parts ooxml/pptx/line-chart.pptx - 25 25 MATCH
opc-noop ooxml/pptx/line-chart.pptx - a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1:44700 a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1:44700 MATCH
opc-reblob ooxml/pptx/line-chart.pptx - a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1:44700 a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1:44700 MATCH
open ooxml/pptx/pie-chart.pptx - ok ok MATCH
parts ooxml/pptx/pie-chart.pptx - 25 25 MATCH
opc-noop ooxml/pptx/pie-chart.pptx - 3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444:55297 3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444:55297 MATCH
opc-reblob ooxml/pptx/pie-chart.pptx - 3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444:55297 3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444:55297 MATCH
open ooxml/pptx/radar-chart.pptx - ok ok MATCH
parts ooxml/pptx/radar-chart.pptx - 25 25 MATCH
opc-noop ooxml/pptx/radar-chart.pptx - faf631199e44a1eb5dae48527d233b3231e67ea0345e93fd0c9306ce5261b570:43689 faf631199e44a1eb5dae48527d233b3231e67ea0345e93fd0c9306ce5261b570:43689 MATCH
opc-reblob ooxml/pptx/radar-chart.pptx - faf631199e44a1eb5dae48527d233b3231e67ea0345e93fd0c9306ce5261b570:43689 faf631199e44a1eb5dae48527d233b3231e67ea0345e93fd0c9306ce5261b570:43689 MATCH
open ooxml/pptx/sample.pptx - ok ok MATCH
parts ooxml/pptx/sample.pptx - 24 24 MATCH
opc-noop ooxml/pptx/sample.pptx - 108d7219130a8460298896f45ff777dfe52b8b5527a4b4628b10731ed01d6a8e:47215 108d7219130a8460298896f45ff777dfe52b8b5527a4b4628b10731ed01d6a8e:47215 MATCH
opc-reblob ooxml/pptx/sample.pptx - 108d7219130a8460298896f45ff777dfe52b8b5527a4b4628b10731ed01d6a8e:47215 108d7219130a8460298896f45ff777dfe52b8b5527a4b4628b10731ed01d6a8e:47215 MATCH
open ooxml/pptx/scatter-chart.pptx - ok ok MATCH
parts ooxml/pptx/scatter-chart.pptx - 25 25 MATCH
opc-noop ooxml/pptx/scatter-chart.pptx - 946d17760f23822950d97a02aeeedbac773fe8ba5afd61bb26a9ee5fd8db53be:44269 946d17760f23822950d97a02aeeedbac773fe8ba5afd61bb26a9ee5fd8db53be:44269 MATCH
opc-reblob ooxml/pptx/scatter-chart.pptx - 946d17760f23822950d97a02aeeedbac773fe8ba5afd61bb26a9ee5fd8db53be:44269 946d17760f23822950d97a02aeeedbac773fe8ba5afd61bb26a9ee5fd8db53be:44269 MATCH
open ooxml/pptx/shape-blur-effect.pptx - ok ok MATCH
parts ooxml/pptx/shape-blur-effect.pptx - 23 23 MATCH
opc-noop ooxml/pptx/shape-blur-effect.pptx - 8fb6fb909b7460b8337cbf13196321c94d6df70b97f02ed7b5dd7bdaff71953a:33285 8fb6fb909b7460b8337cbf13196321c94d6df70b97f02ed7b5dd7bdaff71953a:33285 MATCH
opc-reblob ooxml/pptx/shape-blur-effect.pptx - 8fb6fb909b7460b8337cbf13196321c94d6df70b97f02ed7b5dd7bdaff71953a:33285 8fb6fb909b7460b8337cbf13196321c94d6df70b97f02ed7b5dd7bdaff71953a:33285 MATCH
open ooxml/pptx/shape-glow-effect.pptx - ok ok MATCH
parts ooxml/pptx/shape-glow-effect.pptx - 13 13 MATCH
opc-noop ooxml/pptx/shape-glow-effect.pptx - 4f42a41afc627dc2fc6fba99457a8daa956c86037783e59a74899dc8081c806f:13691 4f42a41afc627dc2fc6fba99457a8daa956c86037783e59a74899dc8081c806f:13691 MATCH
opc-reblob ooxml/pptx/shape-glow-effect.pptx - 4f42a41afc627dc2fc6fba99457a8daa956c86037783e59a74899dc8081c806f:13691 4f42a41afc627dc2fc6fba99457a8daa956c86037783e59a74899dc8081c806f:13691 MATCH
open ooxml/pptx/shape-soft-edges.pptx - ok ok MATCH
parts ooxml/pptx/shape-soft-edges.pptx - 41 41 MATCH
opc-noop ooxml/pptx/shape-soft-edges.pptx - c3bc3f9adb6f22d85d6dac389e5225b07b74c43db6daf222b31e37cb459f8297:50092 c3bc3f9adb6f22d85d6dac389e5225b07b74c43db6daf222b31e37cb459f8297:50092 MATCH
opc-reblob ooxml/pptx/shape-soft-edges.pptx - c3bc3f9adb6f22d85d6dac389e5225b07b74c43db6daf222b31e37cb459f8297:50092 c3bc3f9adb6f22d85d6dac389e5225b07b74c43db6daf222b31e37cb459f8297:50092 MATCH
open ooxml/pptx/shape-text-glow-effect.pptx - ok ok MATCH
parts ooxml/pptx/shape-text-glow-effect.pptx - 23 23 MATCH
opc-noop ooxml/pptx/shape-text-glow-effect.pptx - 582b7b186b4fcfac0280fea4b49e61b77e0172f12e1963f69694e8313b7a9354:34693 582b7b186b4fcfac0280fea4b49e61b77e0172f12e1963f69694e8313b7a9354:34693 MATCH
opc-reblob ooxml/pptx/shape-text-glow-effect.pptx - 582b7b186b4fcfac0280fea4b49e61b77e0172f12e1963f69694e8313b7a9354:34693 582b7b186b4fcfac0280fea4b49e61b77e0172f12e1963f69694e8313b7a9354:34693 MATCH
open ooxml/pptx/shape-text-rotate.pptx - ok ok MATCH
parts ooxml/pptx/shape-text-rotate.pptx - 24 24 MATCH
opc-noop ooxml/pptx/shape-text-rotate.pptx - 3f0d3bc2739f1c0ee5af95ac503dcfe38b6069ef064b327427aa28e420756c5c:33784 3f0d3bc2739f1c0ee5af95ac503dcfe38b6069ef064b327427aa28e420756c5c:33784 MATCH
opc-reblob ooxml/pptx/shape-text-rotate.pptx - 3f0d3bc2739f1c0ee5af95ac503dcfe38b6069ef064b327427aa28e420756c5c:33784 3f0d3bc2739f1c0ee5af95ac503dcfe38b6069ef064b327427aa28e420756c5c:33784 MATCH
open ooxml/pptx/shapes.pptx - ok ok MATCH
parts ooxml/pptx/shapes.pptx - 29 29 MATCH
opc-noop ooxml/pptx/shapes.pptx - 19fde9b87e33dd1a95fdbba0cf6abc2278bf03874f4665c7f8b88b6afe4a2571:68822 19fde9b87e33dd1a95fdbba0cf6abc2278bf03874f4665c7f8b88b6afe4a2571:68822 MATCH
opc-reblob ooxml/pptx/shapes.pptx - 19fde9b87e33dd1a95fdbba0cf6abc2278bf03874f4665c7f8b88b6afe4a2571:68822 19fde9b87e33dd1a95fdbba0cf6abc2278bf03874f4665c7f8b88b6afe4a2571:68822 MATCH
open ooxml/pptx/smartart-accent-process.pptx - ok ok MATCH
parts ooxml/pptx/smartart-accent-process.pptx - 28 28 MATCH
opc-noop ooxml/pptx/smartart-accent-process.pptx - 17e6753da5141ca7cfc8f6771429b66b40b5b33269c3a61a2e4c7c6f29dae786:46326 17e6753da5141ca7cfc8f6771429b66b40b5b33269c3a61a2e4c7c6f29dae786:46326 MATCH
opc-reblob ooxml/pptx/smartart-accent-process.pptx - 17e6753da5141ca7cfc8f6771429b66b40b5b33269c3a61a2e4c7c6f29dae786:46326 17e6753da5141ca7cfc8f6771429b66b40b5b33269c3a61a2e4c7c6f29dae786:46326 MATCH
open ooxml/pptx/smartart-autoTxRot.pptx - ok ok MATCH
parts ooxml/pptx/smartart-autoTxRot.pptx - 37 37 MATCH
opc-noop ooxml/pptx/smartart-autoTxRot.pptx - 7c5e882567fbe88bdbd7afd7b021008c427216e55f4c5058b480074032d4635e:58937 7c5e882567fbe88bdbd7afd7b021008c427216e55f4c5058b480074032d4635e:58937 MATCH
opc-reblob ooxml/pptx/smartart-autoTxRot.pptx - 7c5e882567fbe88bdbd7afd7b021008c427216e55f4c5058b480074032d4635e:58937 7c5e882567fbe88bdbd7afd7b021008c427216e55f4c5058b480074032d4635e:58937 MATCH
open ooxml/pptx/smartart-autofit-sync.pptx - ok ok MATCH
parts ooxml/pptx/smartart-autofit-sync.pptx - 28 28 MATCH
opc-noop ooxml/pptx/smartart-autofit-sync.pptx - 589ffe1c7dfbd8eb8473021b780a80c6114133fcfb3b1464c5e3ac44f70c59e4:41814 589ffe1c7dfbd8eb8473021b780a80c6114133fcfb3b1464c5e3ac44f70c59e4:41814 MATCH
opc-reblob ooxml/pptx/smartart-autofit-sync.pptx - 589ffe1c7dfbd8eb8473021b780a80c6114133fcfb3b1464c5e3ac44f70c59e4:41814 589ffe1c7dfbd8eb8473021b780a80c6114133fcfb3b1464c5e3ac44f70c59e4:41814 MATCH
open ooxml/pptx/smartart-background-drawingml-fallback.pptx - ok ok MATCH
parts ooxml/pptx/smartart-background-drawingml-fallback.pptx - 28 28 MATCH
opc-noop ooxml/pptx/smartart-background-drawingml-fallback.pptx - ee60357bcf324a099d796347ecb3ab64ce1f4849be3c0d8e1027e75c3eff6a36:40964 ee60357bcf324a099d796347ecb3ab64ce1f4849be3c0d8e1027e75c3eff6a36:40964 MATCH
opc-reblob ooxml/pptx/smartart-background-drawingml-fallback.pptx - ee60357bcf324a099d796347ecb3ab64ce1f4849be3c0d8e1027e75c3eff6a36:40964 ee60357bcf324a099d796347ecb3ab64ce1f4849be3c0d8e1027e75c3eff6a36:40964 MATCH
open ooxml/pptx/smartart-background.pptx - ok ok MATCH
parts ooxml/pptx/smartart-background.pptx - 27 27 MATCH
opc-noop ooxml/pptx/smartart-background.pptx - 55b034bcc0f484a49fd0ae2d98c277d2c31f249cfe4758b500ec29de824a4f6c:50424 55b034bcc0f484a49fd0ae2d98c277d2c31f249cfe4758b500ec29de824a4f6c:50424 MATCH
opc-reblob ooxml/pptx/smartart-background.pptx - 55b034bcc0f484a49fd0ae2d98c277d2c31f249cfe4758b500ec29de824a4f6c:50424 55b034bcc0f484a49fd0ae2d98c277d2c31f249cfe4758b500ec29de824a4f6c:50424 MATCH
open ooxml/pptx/smartart-bullet-list.pptx - ok ok MATCH
parts ooxml/pptx/smartart-bullet-list.pptx - 27 27 MATCH
opc-noop ooxml/pptx/smartart-bullet-list.pptx - 482c2b4b1a146220e76b14bd31b1c9e6168c91194f7f3088df444ac2060a3e3e:40468 482c2b4b1a146220e76b14bd31b1c9e6168c91194f7f3088df444ac2060a3e3e:40468 MATCH
opc-reblob ooxml/pptx/smartart-bullet-list.pptx - 482c2b4b1a146220e76b14bd31b1c9e6168c91194f7f3088df444ac2060a3e3e:40468 482c2b4b1a146220e76b14bd31b1c9e6168c91194f7f3088df444ac2060a3e3e:40468 MATCH
open ooxml/pptx/smartart-center-cycle.pptx - ok ok MATCH
parts ooxml/pptx/smartart-center-cycle.pptx - 27 27 MATCH
opc-noop ooxml/pptx/smartart-center-cycle.pptx - 8d755ff2fc88e0ff6cff0c25f995bade7a58dbec472687ad52877d7989de43ea:44405 8d755ff2fc88e0ff6cff0c25f995bade7a58dbec472687ad52877d7989de43ea:44405 MATCH
opc-reblob ooxml/pptx/smartart-center-cycle.pptx - 8d755ff2fc88e0ff6cff0c25f995bade7a58dbec472687ad52877d7989de43ea:44405 8d755ff2fc88e0ff6cff0c25f995bade7a58dbec472687ad52877d7989de43ea:44405 MATCH
open ooxml/pptx/smartart-chevron.pptx - ok ok MATCH
parts ooxml/pptx/smartart-chevron.pptx - 26 26 MATCH
opc-noop ooxml/pptx/smartart-chevron.pptx - a6a9011c6d7b542a91dfcc1e6ba4c2e7d468f027b8ceab9663882b0f77efdf08:34076 a6a9011c6d7b542a91dfcc1e6ba4c2e7d468f027b8ceab9663882b0f77efdf08:34076 MATCH
opc-reblob ooxml/pptx/smartart-chevron.pptx - a6a9011c6d7b542a91dfcc1e6ba4c2e7d468f027b8ceab9663882b0f77efdf08:34076 a6a9011c6d7b542a91dfcc1e6ba4c2e7d468f027b8ceab9663882b0f77efdf08:34076 MATCH
open ooxml/pptx/smartart-children.pptx - ok ok MATCH
parts ooxml/pptx/smartart-children.pptx - 27 27 MATCH
opc-noop ooxml/pptx/smartart-children.pptx - ab9b0d6ae65f411716e4f0e6784782d75f3110a1cbc8c691a35a3095ee178a08:53014 ab9b0d6ae65f411716e4f0e6784782d75f3110a1cbc8c691a35a3095ee178a08:53014 MATCH
opc-reblob ooxml/pptx/smartart-children.pptx - ab9b0d6ae65f411716e4f0e6784782d75f3110a1cbc8c691a35a3095ee178a08:53014 ab9b0d6ae65f411716e4f0e6784782d75f3110a1cbc8c691a35a3095ee178a08:53014 MATCH
open ooxml/pptx/smartart-cnt.pptx - ok ok MATCH
parts ooxml/pptx/smartart-cnt.pptx - 27 27 MATCH
opc-noop ooxml/pptx/smartart-cnt.pptx - 42363e3ed1f8c0f06ec566de4de0177b998f4433b260d17a1bca29b3a565ceb3:47360 42363e3ed1f8c0f06ec566de4de0177b998f4433b260d17a1bca29b3a565ceb3:47360 MATCH
opc-reblob ooxml/pptx/smartart-cnt.pptx - 42363e3ed1f8c0f06ec566de4de0177b998f4433b260d17a1bca29b3a565ceb3:47360 42363e3ed1f8c0f06ec566de4de0177b998f4433b260d17a1bca29b3a565ceb3:47360 MATCH
