# kind fixture detail eager lazy verdict
opc-reblob libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx - 2363ff4d5cd194671a6fcc298d37423a19a4797c9e3ba5679538101f475c5f88:30844 2363ff4d5cd194671a6fcc298d37423a19a4797c9e3ba5679538101f475c5f88:30844 MATCH
open libreoffice-core/oox/qa/unit/data/tdf131082.pptx - ok ok MATCH
parts libreoffice-core/oox/qa/unit/data/tdf131082.pptx - 17 17 MATCH
opc-noop libreoffice-core/oox/qa/unit/data/tdf131082.pptx - a7287e4303cce471c20f10d7a6f90c0717ff99d1165450033c314b821ac34fa1:25881 a7287e4303cce471c20f10d7a6f90c0717ff99d1165450033c314b821ac34fa1:25881 MATCH
opc-reblob libreoffice-core/oox/qa/unit/data/tdf131082.pptx - a7287e4303cce471c20f10d7a6f90c0717ff99d1165450033c314b821ac34fa1:25881 a7287e4303cce471c20f10d7a6f90c0717ff99d1165450033c314b821ac34fa1:25881 MATCH
open libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx - 13 13 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx - b10c917495578a5f0238ec4f4c0d8cd457d8afda602cd23edc3642be6b0ee577:27708 b10c917495578a5f0238ec4f4c0d8cd457d8afda602cd23edc3642be6b0ee577:27708 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx - b10c917495578a5f0238ec4f4c0d8cd457d8afda602cd23edc3642be6b0ee577:27708 b10c917495578a5f0238ec4f4c0d8cd457d8afda602cd23edc3642be6b0ee577:27708 MATCH
open libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb - 14 14 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb - 9c18ee4e966af214c8c249824661c8dd633987dfba128091f867964f424309f2:10911 9c18ee4e966af214c8c249824661c8dd633987dfba128091f867964f424309f2:10911 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb - 9c18ee4e966af214c8c249824661c8dd633987dfba128091f867964f424309f2:10911 9c18ee4e966af214c8c249824661c8dd633987dfba128091f867964f424309f2:10911 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx - 22 22 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx - d9ff4c00f55a219d9d9ed9cbfd4b5f038d4797078bb9e0b250557a99daa95011:29373 d9ff4c00f55a219d9d9ed9cbfd4b5f038d4797078bb9e0b250557a99daa95011:29373 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx - d9ff4c00f55a219d9d9ed9cbfd4b5f038d4797078bb9e0b250557a99daa95011:29373 d9ff4c00f55a219d9d9ed9cbfd4b5f038d4797078bb9e0b250557a99daa95011:29373 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx - 896f863f92dc5fc05ce7b038272261106a0d40f6fb77abff7bc149880346eaef:9494 896f863f92dc5fc05ce7b038272261106a0d40f6fb77abff7bc149880346eaef:9494 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx - 896f863f92dc5fc05ce7b038272261106a0d40f6fb77abff7bc149880346eaef:9494 896f863f92dc5fc05ce7b038272261106a0d40f6fb77abff7bc149880346eaef:9494 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx - 14 14 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx - c1e17e7d0d8b8f1cae95461eb9145e025a9a151efc52718f72596283b5da20b0:9964 c1e17e7d0d8b8f1cae95461eb9145e025a9a151efc52718f72596283b5da20b0:9964 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx - c1e17e7d0d8b8f1cae95461eb9145e025a9a151efc52718f72596283b5da20b0:9964 c1e17e7d0d8b8f1cae95461eb9145e025a9a151efc52718f72596283b5da20b0:9964 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx - 13 13 MATCH
