# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
libreoffice-core/chart2/qa/extras/data/xlsx/boxWhisker.xlsx xlsx-hide 10 30555 3 5723 refused:skipped:_fewer_than_two_sheets
libreoffice-core/chart2/qa/extras/data/xlsx/tdf143127.xlsx xlsx-hide 15 37969 4 5325 refused:skipped:_fewer_than_two_sheets
libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx xlsx-hide 13 162962 1 2361 refused:Invalid("main_part_'/word/document.xml'_has_non-XLSX_content_type_'application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml'")
libreoffice-core/oox/qa/unit/data/import-mce.pptx xlsx-hide 22 76041 1 3228 refused:Invalid("main_part_'/ppt/presentation.xml'_has_non-XLSX_content_type_'application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml'")
libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx xlsx-hide 22 55959 1 3209 refused:Invalid("main_part_'/ppt/presentation.xml'_has_non-XLSX_content_type_'application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml'")
libreoffice-core/oox/qa/unit/data/tdf131082.pptx xlsx-hide 15 61759 1 5309 refused:Invalid("main_part_'/ppt/presentation.xml'_has_non-XLSX_content_type_'application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml'")
libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx xlsx-hide 11 112296 6 87184 published:27706
libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb xlsx-hide 12 18203 1 291 refused:Invalid("main_part_'/xl/workbook.bin'_has_non-XLSX_content_type_'application/vnd.ms-excel.sheet.binary.macroEnabled.main'")
libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx xlsx-hide 20 85359 12 64583 published:29351
libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx xlsx-hide 10 19465 4 6349 refused:skipped:_fewer_than_two_sheets
libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx xlsx-hide 12 13237 4 6771 refused:skipped:_fewer_than_two_sheets
libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx xlsx-hide 11 19756 3 4329 refused:skipped:_fewer_than_two_sheets
libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx xlsx-hide 7 12946 4 4762 refused:skipped:_fewer_than_two_sheets
