# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx opc-reblob 17 61054 1 711 published:17580
libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx opc-reblob 20 133798 1 961 published:25636
libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx opc-reblob 18 231570 1 213 published:37437
libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx opc-reblob 19 101284 1 2649 published:25741
libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx opc-reblob 7 10486 1 548 published:4952
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf108545_embeddedDocxIcon.docx opc-reblob 18 78230 1 711 published:28843
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf119039_bad_embedded_compound.docx opc-reblob 10 55119 1 2305 published:13876
libreoffice-core/sw/qa/extras/uiwriter/data/autotext-multiple.dotx opc-reblob 13 84034 1 986 published:18470
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-header.docx opc-reblob 28 152426 1 270 published:77621
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-html.docx opc-reblob 2 1499 1 1453 published:2344
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk.docx opc-reblob 10 57923 1 709 published:22007
libreoffice-core/sw/qa/writerfilter/dmapper/data/layout-in-cell-2.docx opc-reblob 16 458539 1 306 published:66189
libreoffice-core/sw/qa/writerfilter/dmapper/data/redline-range-comment.docx opc-reblob 13 78458 1 711 published:17713
office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx opc-reblob 9 15473 1 511 published:7311
office-interop/libreoffice-resaved/document-properties-litchi.docx opc-reblob 8 24425 1 633 published:6825
office-interop/libreoffice-resaved/shapes-litchi.pptx opc-reblob 25 263214 1 486 published:53239
office-interop/litchi-changed/date-autofilter-litchi.xlsx opc-reblob 7 12992 1 836 published:6604
office-interop/litchi-changed/document-properties-litchi.docx opc-reblob 9 42011 1 1078 published:11143
office-interop/litchi-changed/shapes-litchi.pptx opc-reblob 27 140153 1 1302 published:61466
ooxml/docx/ComplexNumberedLists.docx opc-reblob 10 62145 1 983 published:14458
ooxml/docx/FancyFoot.docx opc-reblob 11 36735 1 987 published:12876
ooxml/docx/Headers.docx opc-reblob 13 35642 1 712 published:13076
ooxml/docx/Hyperlink.docx opc-reblob 8 43317 1 712 published:11478
ooxml/docx/comment.docx opc-reblob 7 9150 1 510 published:4926
ooxml/docx/documentProperties.docx opc-reblob 9 41994 1 1078 published:23503
ooxml/docx/documentProtection_comments_no_password.docx opc-reblob 8 27073 1 706 published:9868
ooxml/docx/documentProtection_forms_no_password.docx opc-reblob 8 27180 1 706 published:9924
ooxml/docx/documentProtection_no_protection.docx opc-reblob 8 27108 1 706 published:9884
ooxml/docx/documentProtection_readonly_no_password.docx opc-reblob 8 27021 1 706 published:9856
ooxml/docx/drawing.docx opc-reblob 19 382464 1 5032 published:95247
ooxml/docx/endnotes.docx opc-reblob 12 35597 1 205 published:13553
ooxml/docx/footnotes.docx opc-reblob 12 31717 1 218 published:12823
ooxml/docx/headerFooter.docx opc-reblob 15 49919 1 742 published:28423
ooxml/docx/headerPic.docx opc-reblob 12 38073 1 1073 published:16206
ooxml/docx/table-alignment.docx opc-reblob 9 111748 1 987 published:15519
ooxml/docx/table-indent.docx opc-reblob 7 81548 1 578 published:7639
ooxml/docx/table_footnotes.docx opc-reblob 12 33895 1 218 published:13177
ooxml/docx/testComment.docx opc-reblob 13 111088 1 711 published:65298
ooxml/pptx/SmartArt.pptx opc-reblob 26 150094 1 1280 published:41382
ooxml/pptx/activex/activex_checkbox.pptx opc-reblob 31 101567 1 1281 published:39828
ooxml/pptx/backgrounds.pptx opc-reblob 29 112791 1 1227 published:63442
ooxml/pptx/connectorConnection.pptx opc-reblob 21 87806 1 1297 published:33296
ooxml/pptx/curvedConnectors.pptx opc-reblob 21 91853 1 1297 published:35029
ooxml/pptx/elbowConnectors.pptx opc-reblob 21 91364 1 1297 published:34608
ooxml/pptx/line-chart.pptx opc-reblob 23 89732 1 1268 published:44700
ooxml/pptx/pie-chart.pptx opc-reblob 23 96599 1 1113 published:55297
ooxml/pptx/radar-chart.pptx opc-reblob 23 88655 1 1269 published:43689
ooxml/pptx/sample.pptx opc-reblob 22 99861 1 1176 published:47215
ooxml/pptx/scatter-chart.pptx opc-reblob 23 89220 1 1271 published:44269
ooxml/pptx/shape-blur-effect.pptx opc-reblob 21 85994 1 1280 published:33285
ooxml/pptx/shape-glow-effect.pptx opc-reblob 11 26867 1 1265 published:13691
ooxml/pptx/shape-soft-edges.pptx opc-reblob 39 182021 1 495 published:50092
ooxml/pptx/shape-text-glow-effect.pptx opc-reblob 21 87030 1 1309 published:34693
ooxml/pptx/shape-text-rotate.pptx opc-reblob 22 86135 1 1309 published:33784
ooxml/pptx/shapes.pptx opc-reblob 27 140137 1 1302 published:68822
ooxml/pptx/smartart-accent-process.pptx opc-reblob 26 143401 1 1124 published:46326
ooxml/pptx/smartart-autoTxRot.pptx opc-reblob 35 301561 1 1374 published:58937
ooxml/pptx/smartart-autofit-sync.pptx opc-reblob 26 174720 1 1525 published:41814
ooxml/pptx/smartart-background-drawingml-fallback.pptx opc-reblob 26 136154 1 1284 published:40964
ooxml/pptx/smartart-background.pptx opc-reblob 25 136769 1 1117 published:50424
ooxml/pptx/smartart-bullet-list.pptx opc-reblob 25 122636 1 1117 published:40468
ooxml/pptx/smartart-center-cycle.pptx opc-reblob 25 131634 1 1117 published:44405
ooxml/pptx/smartart-chevron.pptx opc-reblob 24 123393 1 1090 published:34076
ooxml/pptx/smartart-children.pptx opc-reblob 25 159776 1 1117 published:53014
ooxml/pptx/smartart-cnt.pptx opc-reblob 25 185814 1 1117 published:47360
ooxml/pptx/smartart-composite-infer-right.pptx opc-reblob 16 101296 1 1280 published:23250
ooxml/pptx/smartart-continuous-block-process.pptx opc-reblob 26 133126 1 1124 published:46204
ooxml/pptx/smartart-cycle-matrix.pptx opc-reblob 26 189035 1 1126 published:56986
